Type,Document,Start,End
L1 Background,Czech_Republic-CZ-1-21.txt,0,2735
L1 Analysis,Czech_Republic-CZ-1-21.txt,2741,8232
L2 Outcome,Czech_Republic-CZ-1-21.txt,6485,6865
L1 Background,Czech_Republic-CZ-1-27.txt,4,2829
L1 Analysis,Czech_Republic-CZ-1-27.txt,2833,11340
L2 Outcome,Czech_Republic-CZ-1-27.txt,8891,9217
L1 Background,Czech_Republic-CZ-1-1.txt,5,13117
L1 Analysis,Czech_Republic-CZ-1-1.txt,13121,45008
L2 Outcome,Czech_Republic-CZ-1-1.txt,43694,44915
L1 Background,Czech_Republic-CZ-1-2.txt,4,9292
L1 Analysis,Czech_Republic-CZ-1-2.txt,9294,34187
L2 Outcome,Czech_Republic-CZ-1-2.txt,32963,34091
L1 Background,Czech_Republic-CZ-1-3.txt,0,11797
L1 Analysis,Czech_Republic-CZ-1-3.txt,11802,24338
L2 Outcome,Czech_Republic-CZ-1-3.txt,23648,24265
L1 Background,Czech_Republic-CZ-1-4.txt,0,3452
L1 Analysis,Czech_Republic-CZ-1-4.txt,3457,12281
L2 Outcome,Czech_Republic-CZ-1-4.txt,11255,12190
L1 Background,Czech_Republic-CZ-1-5.txt,0,11054
L1 Analysis,Czech_Republic-CZ-1-5.txt,11072,19111
L2 Outcome,Czech_Republic-CZ-1-5.txt,18482,19017
L1 Background,Czech_Republic-CZ-1-6.txt,0,19406
L1 Analysis,Czech_Republic-CZ-1-6.txt,19412,43937
L2 Outcome,Czech_Republic-CZ-1-6.txt,42258,43848
L1 Background,Czech_Republic-CZ-1-7.txt,4,6262
L1 Analysis,Czech_Republic-CZ-1-7.txt,6262,14390
L2 Outcome,Czech_Republic-CZ-1-7.txt,12787,14081
L1 Background,Czech_Republic-CZ-1-8.txt,0,3118
L1 Analysis,Czech_Republic-CZ-1-8.txt,3122,11803
L2 Outcome,Czech_Republic-CZ-1-8.txt,11297,11665
L1 Background,Czech_Republic-CZ-1-9.txt,0,10568
L1 Analysis,Czech_Republic-CZ-1-9.txt,10578,23299
L2 Outcome,Czech_Republic-CZ-1-9.txt,22467,23204
L1 Background,Czech_Republic-CZ-1-10.txt,4,4101
L1 Analysis,Czech_Republic-CZ-1-10.txt,4105,12051
L2 Outcome,Czech_Republic-CZ-1-10.txt,10931,11710
L1 Background,Czech_Republic-CZ-1-11.txt,0,2007
L1 Analysis,Czech_Republic-CZ-1-11.txt,2011,3255
L2 Outcome,Czech_Republic-CZ-1-11.txt,2295,3160
L1 Background,Czech_Republic-CZ-1-12.txt,0,2040
L1 Analysis,Czech_Republic-CZ-1-12.txt,2045,5567
L2 Outcome,Czech_Republic-CZ-1-12.txt,4680,5478
L1 Background,Czech_Republic-CZ-1-13.txt,0,2144
L1 Analysis,Czech_Republic-CZ-1-13.txt,2149,12221
L2 Outcome,Czech_Republic-CZ-1-13.txt,11639,12127
L1 Background,Czech_Republic-CZ-1-14.txt,0,5094
L1 Analysis,Czech_Republic-CZ-1-14.txt,5098,12971
L2 Outcome,Czech_Republic-CZ-1-14.txt,12197,12882
L1 Background,Czech_Republic-CZ-1-15.txt,0,3122
L1 Analysis,Czech_Republic-CZ-1-15.txt,3128,13363
L2 Outcome,Czech_Republic-CZ-1-15.txt,10997,11813
L1 Background,Czech_Republic-CZ-1-16.txt,4,7986
L1 Analysis,Czech_Republic-CZ-1-16.txt,7991,18832
L2 Outcome,Czech_Republic-CZ-1-16.txt,18284,18740
L1 Background,Czech_Republic-CZ-1-17.txt,4,2063
L1 Analysis,Czech_Republic-CZ-1-17.txt,2069,11063
L2 Outcome,Czech_Republic-CZ-1-17.txt,10457,10921
L1 Background,Czech_Republic-CZ-1-18.txt,1,12067
L1 Analysis,Czech_Republic-CZ-1-18.txt,12071,35752
L2 Outcome,Czech_Republic-CZ-1-18.txt,35127,35657
L1 Background,Czech_Republic-CZ-1-19.txt,0,4087
L1 Analysis,Czech_Republic-CZ-1-19.txt,4093,23055
L2 Outcome,Czech_Republic-CZ-1-19.txt,22163,22961
L1 Background,Czech_Republic-CZ-1-20.txt,4,2146
L1 Analysis,Czech_Republic-CZ-1-20.txt,2153,8563
L2 Outcome,Czech_Republic-CZ-1-20.txt,6544,8485
L1 Background,Czech_Republic-CZ-1-22.txt,0,5067
L1 Analysis,Czech_Republic-CZ-1-22.txt,5072,14211
L2 Outcome,Czech_Republic-CZ-1-22.txt,13500,14114
L1 Background,Czech_Republic-CZ-1-23.txt,0,8749
L1 Analysis,Czech_Republic-CZ-1-23.txt,8755,27282
L2 Outcome,Czech_Republic-CZ-1-23.txt,26319,27185
L1 Background,Czech_Republic-CZ-1-24.txt,0,4227
L1 Analysis,Czech_Republic-CZ-1-24.txt,4232,35898
L2 Outcome,Czech_Republic-CZ-1-24.txt,35168,35817
L1 Background,Czech_Republic-CZ-1-25.txt,1,2775
