Type,Document,Start,End
L0 Out of Scope,Czech_Republic-CZ-1-21.txt,0,710
L0 Out of Scope,Czech_Republic-CZ-1-21.txt,9043,9125
L0 Heading,Czech_Republic-CZ-1-21.txt,710,723
L0 Heading,Czech_Republic-CZ-1-21.txt,1193,1216
L0 Heading,Czech_Republic-CZ-1-21.txt,1220,1224
L0 Heading,Czech_Republic-CZ-1-21.txt,2426,2430
L0 Heading,Czech_Republic-CZ-1-21.txt,2502,2506
L0 Heading,Czech_Republic-CZ-1-21.txt,3202,3207
L0 Heading,Czech_Republic-CZ-1-21.txt,3504,3509
L0 Heading,Czech_Republic-CZ-1-21.txt,4061,4066
L0 Heading,Czech_Republic-CZ-1-21.txt,5318,5324
L0 Heading,Czech_Republic-CZ-1-21.txt,6267,6272
L0 Heading,Czech_Republic-CZ-1-21.txt,7269,7274
L0 Heading,Czech_Republic-CZ-1-21.txt,7658,7665
L0 Heading,Czech_Republic-CZ-1-21.txt,8524,8529
L0 Heading,Czech_Republic-CZ-1-21.txt,8817,8823
L1 Background,Czech_Republic-CZ-1-21.txt,710,3498
L1 Analysis,Czech_Republic-CZ-1-21.txt,3504,9039
L2 Introductory Summary,Czech_Republic-CZ-1-21.txt,729,1189
L2 Outcome,Czech_Republic-CZ-1-21.txt,7269,7654
L0 Out of Scope,Czech_Republic-CZ-1-27.txt,0,650
L0 Out of Scope,Czech_Republic-CZ-1-27.txt,12026,12111
L0 Heading,Czech_Republic-CZ-1-27.txt,748,761
L0 Heading,Czech_Republic-CZ-1-27.txt,766,789
L1 Background,Czech_Republic-CZ-1-27.txt,654,3515
L1 Analysis,Czech_Republic-CZ-1-27.txt,3519,12026
L2 Outcome,Czech_Republic-CZ-1-27.txt,9577,9903
L0 Out of Scope,Czech_Republic-CZ-1-1.txt,1,726
L0 Out of Scope,Czech_Republic-CZ-1-1.txt,46472,46598
L0 Heading,Czech_Republic-CZ-1-1.txt,730,744
L0 Heading,Czech_Republic-CZ-1-1.txt,1283,1306
L0 Heading,Czech_Republic-CZ-1-1.txt,1310,1329
L0 Heading,Czech_Republic-CZ-1-1.txt,1341,1345
L0 Heading,Czech_Republic-CZ-1-1.txt,1904,1909
L0 Heading,Czech_Republic-CZ-1-1.txt,2427,2433
L0 Heading,Czech_Republic-CZ-1-1.txt,3096,3104
L0 Heading,Czech_Republic-CZ-1-1.txt,3687,3747
L0 Heading,Czech_Republic-CZ-1-1.txt,3751,3757
L0 Heading,Czech_Republic-CZ-1-1.txt,5353,5359
L0 Heading,Czech_Republic-CZ-1-1.txt,5988,5993
L0 Heading,Czech_Republic-CZ-1-1.txt,7965,7973
L0 Heading,Czech_Republic-CZ-1-1.txt,7145,7153
L0 Heading,Czech_Republic-CZ-1-1.txt,8299,8355
L0 Heading,Czech_Republic-CZ-1-1.txt,8359,8366
L0 Heading,Czech_Republic-CZ-1-1.txt,8960,8970
L0 Heading,Czech_Republic-CZ-1-1.txt,10490,10499
L0 Heading,Czech_Republic-CZ-1-1.txt,11326,11333
