Type,Document,Ordering,Text
L1 Background,Czech_Republic-CZ-1-21.txt,0,"[1] Rozhodnutí Policie České republiky, Krajského ředitelství policie Jihomoravského kraje ze dne 16. 1. 2014, čj. KRPB-251910-25/ČJ-2014-060026-SV, ve spojení s rozhodnutím Policie České služby cizinecké policie ze dne 22. 4. 2015, čj. CPR-3950-2/ČJ-2015-930310-V237 bylo žalobci (dále jen „stěžovateli“) podle § 119 odst. 1 písm. c) bod 2 zákona č. 326/1999 Sb., o pobytu cizinců na území České republiky a o změně některých zákonů (dále jen „zákon o pobytu cizinců“), uloženo správní vyhoštění."
L1 Background,Czech_Republic-CZ-1-21.txt,1,"Z rozhodnutí vyplývá, že stěžovatel pobýval v ČR na základě víza k pobytu nad 90 dní za účelem strpění do 2. 11. 2012, jeho žádost o udělení nového víza byla dne 28. 2. 2014 zamítnuta."
L1 Background,Czech_Republic-CZ-1-21.txt,2,"Následně, dne 25. 9. 2014 byl stěžovateli vydán výjezdní příkaz, přičemž tento den považuje žalovaná za jako poslední den oprávněného pobytu stěžovatele na území České republiky."
L1 Background,Czech_Republic-CZ-1-21.txt,3,"Od 26. 9. 2014 do 14. 10. 2014 tedy pobýval na území ČR bez platného víza, což bylo důvodem pro vydání žalobou napadených rozhodnutí."
L1 Background,Czech_Republic-CZ-1-21.txt,4,"Dobu, po kterou nelze stěžovateli umožnit vstup na území členských států Evropské unie, žalovaná stanovila na šest měsíců. [2] Žalobu proti rozhodnutí žalované Krajský soud v Brně zamítl. [3] Proti rozsudku krajského soudu podal žalobce (dále jen „stěžovatel“) včasnou blanketní kasační stížnost, s níž spojil i návrh na přiznání odkladného účinku."
L1 Background,Czech_Republic-CZ-1-21.txt,5,Závažnou újmu spatřuje zejména v nemožnosti pobývat na území České republiky.
L1 Background,Czech_Republic-CZ-1-21.txt,6,V případě jejího opuštění by neměl možnost v řízení o kasační stížnosti osobně vystupovat a být v kontaktu se svou právní zástupkyní a udělovat jí pokyny.
L1 Background,Czech_Republic-CZ-1-21.txt,7,"Tímto by bylo porušeno právo na spravedlivý proces, což by ro něj znamenalo značnou újmu."
L1 Background,Czech_Republic-CZ-1-21.txt,8,"K podpoře svých tvrzení stěžovatel poukázal na usnesení NSS ze dne 18. 8. 2011, čj. 5 As 73/2011-100, a ze dne 23. 8. 2016, čj. 5 Azs 174/2016-20. [4] Žalovaná k návrhu stěžovatele vyjádřila obecný nesouhlas s automatickým přiznáváním odkladného účinku kasačním cizinců."
L1 Background,Czech_Republic-CZ-1-21.txt,9,Ve vztahu ke stěžovateli a případnému dotčení veřejného zájmu v nyní projednávané věci neuvedla žádné konkrétní důvody pro nepřiznání odkladného účinku.
