Document,L0 Out of Scope-L0 Out of Scope,L0 Out of Scope-L0 Heading,L0 Out of Scope-L1 Background,L0 Out of Scope-L1 Analysis,L0 Out of Scope-L2 Introductory Summary,L0 Out of Scope-L2 Outcome,L0 Out of Scope-Not Marked,L0 Heading-L0 Out of Scope,L0 Heading-L0 Heading,L0 Heading-L1 Background,L0 Heading-L1 Analysis,L0 Heading-L2 Introductory Summary,L0 Heading-L2 Outcome,L0 Heading-Not Marked,L1 Background-L0 Out of Scope,L1 Background-L0 Heading,L1 Background-L1 Background,L1 Background-L1 Analysis,L1 Background-L2 Introductory Summary,L1 Background-L2 Outcome,L1 Background-Not Marked,L1 Analysis-L0 Out of Scope,L1 Analysis-L0 Heading,L1 Analysis-L1 Background,L1 Analysis-L1 Analysis,L1 Analysis-L2 Introductory Summary,L1 Analysis-L2 Outcome,L1 Analysis-Not Marked,L2 Introductory Summary-L0 Out of Scope,L2 Introductory Summary-L0 Heading,L2 Introductory Summary-L1 Background,L2 Introductory Summary-L1 Analysis,L2 Introductory Summary-L2 Introductory Summary,L2 Introductory Summary-L2 Outcome,L2 Introductory Summary-Not Marked,L2 Outcome-L0 Out of Scope,L2 Outcome-L0 Heading,L2 Outcome-L1 Background,L2 Outcome-L1 Analysis,L2 Outcome-L2 Introductory Summary,L2 Outcome-L2 Outcome,L2 Outcome-Not Marked,Not Marked-L0 Out of Scope,Not Marked-L0 Heading,Not Marked-L1 Background,Not Marked-L1 Analysis,Not Marked-L2 Introductory Summary,Not Marked-L2 Outcome,Not Marked-Not Marked
Czech_Republic-CZ-1-21.txt,779,0,0,0,0,0,13,13,23,17,43,0,0,1,6,0,2263,0,0,0,6,87,0,0,5017,0,0,7,459,0,0,0,0,0,1,0,0,0,380,0,0,0,4,0,0,0,0,0,8
Czech_Republic-CZ-1-27.txt,728,0,0,0,0,0,7,11,21,2,0,0,0,2,94,0,2724,0,0,0,7,466,0,0,7707,0,0,8,0,0,0,0,0,0,0,0,0,0,326,0,0,0,4,0,0,0,0,0,6
Czech_Republic-CZ-1-1.txt,799,0,0,0,0,0,52,14,306,137,268,0,13,1,530,0,12572,0,0,0,10,91,147,0,30420,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1217,4,4,0,0,0,0,0,7
Czech_Republic-CZ-1-2.txt,642,0,0,0,0,0,6,0,125,19,138,0,16,0,0,9,9095,0,0,0,19,88,4,0,23665,0,0,8,164,0,0,0,0,0,1,0,4,0,0,0,1122,2,4,0,0,0,0,0,4
Czech_Republic-CZ-1-3.txt,972,0,0,0,0,0,6,7,16,51,77,0,11,0,79,1,11710,0,0,0,7,68,0,0,11846,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,615,2,2,0,0,0,0,0,5
Czech_Republic-CZ-1-4.txt,795,0,0,0,0,0,34,12,0,0,0,0,0,0,168,0,3270,0,0,0,14,85,0,0,7798,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,932,1,4,0,0,0,0,0,7
Czech_Republic-CZ-1-5.txt,845,0,0,0,0,0,25,14,258,91,65,0,9,2,182,0,10859,0,0,0,13,87,8,0,7402,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,533,2,4,0,0,0,0,0,20
Czech_Republic-CZ-1-6.txt,1153,0,0,0,0,0,7,13,21,1,0,0,0,0,425,0,18967,0,0,0,14,84,0,0,22846,0,0,5,0,0,0,0,0,0,0,0,0,0,1589,0,0,1,4,0,0,0,0,0,8
Czech_Republic-CZ-1-7.txt,714,0,0,0,0,0,29,12,122,59,95,0,0,0,221,3,6016,4,0,0,14,84,3,0,6740,0,0,7,0,0,0,0,0,0,0,0,0,0,1294,0,0,0,8,0,0,0,0,0,2
Czech_Republic-CZ-1-8.txt,750,0,0,0,0,0,6,13,122,41,73,0,0,12,178,0,2907,0,0,0,33,132,0,0,8175,0,0,6,0,0,0,0,0,0,0,0,0,0,367,0,0,1,4,0,0,0,0,0,6
Czech_Republic-CZ-1-9.txt,805,0,0,0,0,0,52,13,289,115,132,0,21,1,233,0,10321,0,0,0,14,90,0,0,11887,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,736,1,0,0,0,0,0,0,12
Czech_Republic-CZ-1-10.txt,1016,0,0,0,0,0,28,14,21,21,44,0,0,2,77,0,4013,0,0,0,7,88,0,0,7071,0,0,8,0,0,0,0,0,0,0,0,0,0,779,0,0,0,4,0,0,0,0,0,7
Czech_Republic-CZ-1-11.txt,666,0,0,0,0,0,22,14,21,1,0,0,0,0,116,0,782,1097,0,0,12,89,0,0,284,0,0,6,0,0,0,0,0,0,0,0,0,0,864,0,0,1,0,0,0,4,0,0,3
Czech_Republic-CZ-1-12.txt,891,0,0,0,0,0,9,13,21,1,0,0,0,1,155,0,1873,0,0,0,12,84,0,1688,941,0,0,11,0,0,0,0,0,0,0,0,0,0,407,0,391,0,4,0,5,0,0,0,3
Czech_Republic-CZ-1-13.txt,639,0,0,0,0,0,27,14,21,2,0,0,0,0,252,0,1886,0,0,0,6,89,0,1746,7738,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,486,1,4,0,5,0,0,0,3
Czech_Republic-CZ-1-14.txt,737,0,0,0,0,0,28,13,21,2,0,0,0,0,234,0,4847,0,0,0,13,85,0,0,7097,0,0,6,0,0,0,0,0,0,0,0,0,0,160,0,521,4,5,0,0,0,0,0,6
Czech_Republic-CZ-1-15.txt,693,0,0,0,0,0,7,13,21,1,0,0,0,0,120,0,2996,0,0,0,6,170,0,0,8862,0,379,8,0,0,0,0,0,0,0,0,0,0,816,0,0,0,5,0,0,0,0,0,8
Czech_Republic-CZ-1-16.txt,647,0,0,0,0,0,40,11,21,1,0,0,0,2,191,0,7786,0,0,0,5,84,0,0,10293,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,451,3,8,0,0,0,0,0,7
Czech_Republic-CZ-1-17.txt,675,0,0,0,0,0,11,11,21,1,0,0,0,1,195,0,1846,0,0,0,18,139,0,0,8388,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,460,3,8,0,0,0,0,0,10
Czech_Republic-CZ-1-18.txt,790,0,0,0,0,0,10,11,118,85,153,0,20,9,2,0,12041,0,0,0,23,88,0,0,23055,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,528,2,4,0,0,0,0,0,7
Czech_Republic-CZ-1-19.txt,826,0,0,0,0,0,14,14,21,5,0,0,0,0,112,0,3968,0,0,0,7,88,0,0,18070,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,795,1,4,0,0,0,0,0,11
Czech_Republic-CZ-1-20.txt,847,0,0,0,0,0,5,8,11,1,0,0,0,1,423,0,1710,0,0,0,9,77,0,0,4391,0,0,1,0,0,0,0,0,0,0,0,0,0,1938,0,0,3,7,0,0,0,0,0,10
Czech_Republic-CZ-1-22.txt,845,0,0,0,0,0,6,14,21,43,83,0,13,2,227,0,4832,0,0,0,8,85,0,0,8428,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,611,2,4,0,0,0,0,0,9
Czech_Republic-CZ-1-23.txt,752,0,0,0,0,0,28,13,21,2,0,0,0,0,111,0,8632,0,0,0,6,86,0,0,17564,0,0,11,0,0,0,0,0,0,0,0,0,0,137,0,728,1,4,0,0,0,0,0,9
Czech_Republic-CZ-1-24.txt,888,0,0,0,0,0,36,7,167,39,147,0,15,3,145,0,4071,0,0,0,11,75,0,0,30936,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,648,1,4,0,0,0,0,0,7
Czech_Republic-CZ-1-25.txt,881,0,0,0,0,0,22,14,133,27,73,0,16,2,226,0,2523,0,0,0,25,85,0,0,9389,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,537,1,10,0,0,0,0,0,8
Czech_Republic-CZ-1-26.txt,721,0,0,0,0,0,6,13,21,16,50,0,5,2,216,0,1718,0,0,0,11,87,0,0,8571,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,257,1,4,0,0,0,0,0,7
Czech_Republic-CZ-1-30.txt,426,0,0,0,0,0,7,14,21,1,0,0,0,1,96,0,306,0,0,0,7,142,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,444,4,11,0,0,0,0,0,6
Czech_Republic-CZ-1-28.txt,765,0,0,0,0,0,7,11,21,23,83,0,0,2,254,0,3664,0,0,0,5,86,0,0,7804,0,0,6,0,0,0,0,0,0,0,0,0,0,898,0,0,1,4,0,0,0,0,0,6
Czech_Republic-CZ-1-29.txt,615,0,0,0,0,0,7,12,21,1,0,0,0,2,159,0,5522,0,0,0,5,90,0,0,5822,0,0,6,0,0,0,0,0,0,0,0,0,0,382,0,355,1,4,0,0,0,0,0,8
Czech_Republic-CZ-1-32.txt,684,0,0,0,0,0,14,13,24,8,2,0,0,1,39,0,7958,0,0,0,9,66,0,0,3757,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,163,2,4,0,0,0,0,0,7
Czech_Republic-CZ-1-31.txt,656,0,0,0,0,0,7,7,0,0,0,0,0,0,185,10,5179,0,0,0,7,73,0,0,7032,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,236,5,0,0,0,0,0,0,13
Czech_Republic-CZ-1-36.txt,1080,0,0,0,0,0,34,0,647,59,245,0,4,0,27,0,13387,0,0,0,4,0,0,0,66540,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,217,0,4,0,0,0,0,0,8
Czech_Republic-CZ-1-33.txt,881,0,0,0,0,0,34,0,10,0,0,0,0,0,501,0,17935,0,0,0,4,0,0,0,16416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,10
Czech_Republic-CZ-1-42.txt,1145,0,0,0,0,0,34,0,288,50,76,0,4,0,363,0,12727,0,0,0,4,0,0,192,21903,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,4,0,0,0,6
