Type,Document,Start,End
L0 Out of Scope,France-FR-1-1.txt,4066,10111
L0 Out of Scope,France-FR-1-1.txt,0,74
L2 Outcome,France-FR-1-1.txt,3865,4064
L0 Out of Scope,France-FR-1-2.txt,0,130
L1 Background,France-FR-1-2.txt,131,876
L0 Out of Scope,France-FR-1-3.txt,0,74
L0 Heading,France-FR-1-3.txt,1841,1857
L0 Heading,France-FR-1-1.txt,3865,3882
L0 Heading,France-FR-1-3.txt,80,101
L0 Heading,France-FR-1-2.txt,133,155
L0 Heading,France-FR-1-1.txt,76,105
L0 Out of Scope,France-FR-1-4.txt,0,73
L0 Out of Scope,France-FR-1-4.txt,6126,11425
L0 Heading,France-FR-1-4.txt,5976,5992
L1 Background,France-FR-1-4.txt,78,1327
L1 Analysis,France-FR-1-4.txt,1330,6123
L0 Heading,France-FR-1-4.txt,1330,1352
L0 Heading,France-FR-1-4.txt,4380,4401
L2 Outcome,France-FR-1-4.txt,5975,6123
L0 Out of Scope,France-FR-1-8.txt,0,74
L1 Background,France-FR-1-8.txt,77,938
L0 Heading,France-FR-1-8.txt,939,962
L0 Out of Scope,France-FR-1-5.txt,0,69
L1 Background,France-FR-1-5.txt,74,640
L0 Out of Scope,France-FR-1-2.txt,2378,9221
L0 Out of Scope,France-FR-1-3.txt,2825,6048
L2 Outcome,France-FR-1-3.txt,1841,2821
L0 Out of Scope,France-FR-1-8.txt,2853,15228
L1 Analysis,France-FR-1-8.txt,939,2852
L2 Outcome,France-FR-1-8.txt,2019,2852
L0 Out of Scope,France-FR-1-5.txt,3232,8559
L1 Analysis,France-FR-1-5.txt,641,3229
L2 Outcome,France-FR-1-5.txt,2516,3229
L0 Heading,France-FR-1-5.txt,643,665
L0 Out of Scope,France-FR-1-9.txt,0,73
L0 Out of Scope,France-FR-1-9.txt,13005,28264
L1 Background,France-FR-1-9.txt,76,1186
L0 Heading,France-FR-1-9.txt,1187,1210
L0 Heading,France-FR-1-9.txt,7337,7361
L0 Heading,France-FR-1-9.txt,9467,9492
L0 Heading,France-FR-1-9.txt,11247,11276
L0 Heading,France-FR-1-9.txt,12127,12144
L1 Analysis,France-FR-1-9.txt,1187,13004
L2 Outcome,France-FR-1-9.txt,12127,13004
L0 Out of Scope,France-FR-1-6.txt,0,73
L0 Out of Scope,France-FR-1-6.txt,2087,2244
L1 Background,France-FR-1-6.txt,76,1046
L1 Analysis,France-FR-1-6.txt,1047,2086
L2 Outcome,France-FR-1-6.txt,1747,2086
L0 Heading,France-FR-1-6.txt,1747,1764
L0 Out of Scope,France-FR-1-7.txt,0,75
L0 Out of Scope,France-FR-1-7.txt,2404,2566
L2 Outcome,France-FR-1-7.txt,2197,2403
L0 Heading,France-FR-1-7.txt,2198,2214
L0 Heading,France-FR-1-8.txt,2019,2092
L0 Heading,France-FR-1-5.txt,2516,2591
L0 Out of Scope,France-FR-1-19.txt,10394,147090
L0 Out of Scope,France-FR-1-19.txt,0,551
L1 Background,France-FR-1-19.txt,553,2744
L0 Heading,France-FR-1-19.txt,2747,2818
L0 Heading,France-FR-1-19.txt,3557,3606
L0 Heading,France-FR-1-19.txt,4871,4919
L0 Heading,France-FR-1-19.txt,5006,5088
L0 Heading,France-FR-1-19.txt,6685,6762
L0 Heading,France-FR-1-19.txt,8111,8188
L0 Heading,France-FR-1-19.txt,9225,9299
L1 Analysis,France-FR-1-19.txt,2747,10388
L2 Outcome,France-FR-1-19.txt,9225,10388
L0 Out of Scope,France-FR-1-10.txt,0,73
L0 Out of Scope,France-FR-1-10.txt,2519,5431
L0 Heading,France-FR-1-10.txt,78,126
L1 Analysis,France-FR-1-10.txt,1711,2516
L2 Outcome,France-FR-1-10.txt,2444,2516
L0 Heading,France-FR-1-10.txt,2444,2460
L0 Out of Scope,France-FR-1-11.txt,0,74
L0 Out of Scope,France-FR-1-11.txt,1672,1833
L0 Heading,France-FR-1-11.txt,442,500
L0 Heading,France-FR-1-11.txt,1397,1413
L1 Background,France-FR-1-11.txt,79,439
L1 Analysis,France-FR-1-11.txt,442,1669
L2 Outcome,France-FR-1-11.txt,1397,1669
L0 Out of Scope,France-FR-1-12.txt,0,73
L0 Out of Scope,France-FR-1-12.txt,2923,3078
L1 Background,France-FR-1-12.txt,76,1512
L1 Analysis,France-FR-1-12.txt,1513,2922
L0 Heading,France-FR-1-12.txt,2825,2842
L2 Outcome,France-FR-1-12.txt,2825,2922
L0 Out of Scope,France-FR-1-14.txt,0,73
L0 Out of Scope,France-FR-1-14.txt,3002,8895
L0 Heading,France-FR-1-14.txt,76,115
L0 Heading,France-FR-1-14.txt,2236,2252
L2 Outcome,France-FR-1-14.txt,2236,3001
L0 Out of Scope,France-FR-1-13.txt,0,73
L0 Out of Scope,France-FR-1-13.txt,3546,10155
L0 Heading,France-FR-1-13.txt,78,128
L0 Heading,France-FR-1-13.txt,3215,3231
L1 Background,France-FR-1-13.txt,78,2891
L1 Analysis,France-FR-1-13.txt,2894,3543
L2 Outcome,France-FR-1-13.txt,3215,3543
