Type,Document,Start,End
L1 Background,France-FR-1-1.txt,3,503
L1 Analysis,France-FR-1-1.txt,504,3942
L2 Outcome,France-FR-1-1.txt,3763,3942
L1 Background,France-FR-1-2.txt,6,972
L1 Analysis,France-FR-1-2.txt,973,2149
L2 Outcome,France-FR-1-2.txt,1360,2149
L1 Background,France-FR-1-3.txt,2,1108
L1 Analysis,France-FR-1-3.txt,1111,2709
L2 Outcome,France-FR-1-3.txt,1749,2709
L1 Background,France-FR-1-4.txt,4,1253
L1 Analysis,France-FR-1-4.txt,1256,5990
L2 Outcome,France-FR-1-4.txt,5862,5990
L1 Background,France-FR-1-8.txt,3,864
L1 Analysis,France-FR-1-8.txt,865,2682
L2 Outcome,France-FR-1-8.txt,1923,2682
L1 Background,France-FR-1-5.txt,5,571
L1 Analysis,France-FR-1-5.txt,574,3063
L2 Outcome,France-FR-1-5.txt,2428,3063
L1 Background,France-FR-1-9.txt,2,1112
L1 Analysis,France-FR-1-9.txt,1113,12811
L2 Outcome,France-FR-1-9.txt,11952,12811
L1 Background,France-FR-1-6.txt,2,972
L1 Analysis,France-FR-1-6.txt,973,1995
L2 Outcome,France-FR-1-6.txt,1674,1995
L1 Background,France-FR-1-7.txt,5,689
L1 Analysis,France-FR-1-7.txt,692,2313
L2 Outcome,France-FR-1-7.txt,2127,2313
L1 Background,France-FR-1-19.txt,3,2193
L1 Analysis,France-FR-1-19.txt,2196,9441
L2 Outcome,France-FR-1-19.txt,8355,9441
L1 Background,France-FR-1-10.txt,5,305
L1 Analysis,France-FR-1-10.txt,308,2379
L2 Outcome,France-FR-1-10.txt,2326,2379
L1 Background,France-FR-1-11.txt,5,365
L1 Analysis,France-FR-1-11.txt,368,1521
L2 Outcome,France-FR-1-11.txt,1268,1521
L1 Background,France-FR-1-12.txt,3,1439
L1 Analysis,France-FR-1-12.txt,1439,2832
L2 Outcome,France-FR-1-12.txt,2753,2832
L1 Analysis,France-FR-1-14.txt,3,2871
L2 Outcome,France-FR-1-14.txt,2124,2871
L1 Background,France-FR-1-13.txt,5,338
L1 Analysis,France-FR-1-13.txt,341,3404
L2 Outcome,France-FR-1-13.txt,3095,3404
