Document,L0 Out of Scope-L0 Out of Scope,L0 Out of Scope-L0 Heading,L0 Out of Scope-L1 Background,L0 Out of Scope-L1 Analysis,L0 Out of Scope-L2 Introductory Summary,L0 Out of Scope-L2 Outcome,L0 Out of Scope-Not Marked,L0 Heading-L0 Out of Scope,L0 Heading-L0 Heading,L0 Heading-L1 Background,L0 Heading-L1 Analysis,L0 Heading-L2 Introductory Summary,L0 Heading-L2 Outcome,L0 Heading-Not Marked,L1 Background-L0 Out of Scope,L1 Background-L0 Heading,L1 Background-L1 Background,L1 Background-L1 Analysis,L1 Background-L2 Introductory Summary,L1 Background-L2 Outcome,L1 Background-Not Marked,L1 Analysis-L0 Out of Scope,L1 Analysis-L0 Heading,L1 Analysis-L1 Background,L1 Analysis-L1 Analysis,L1 Analysis-L2 Introductory Summary,L1 Analysis-L2 Outcome,L1 Analysis-Not Marked,L2 Introductory Summary-L0 Out of Scope,L2 Introductory Summary-L0 Heading,L2 Introductory Summary-L1 Background,L2 Introductory Summary-L1 Analysis,L2 Introductory Summary-L2 Introductory Summary,L2 Introductory Summary-L2 Outcome,L2 Introductory Summary-Not Marked,L2 Outcome-L0 Out of Scope,L2 Outcome-L0 Heading,L2 Outcome-L1 Background,L2 Outcome-L1 Analysis,L2 Outcome-L2 Introductory Summary,L2 Outcome-L2 Outcome,L2 Outcome-Not Marked,Not Marked-L0 Out of Scope,Not Marked-L0 Heading,Not Marked-L1 Background,Not Marked-L1 Analysis,Not Marked-L2 Introductory Summary,Not Marked-L2 Outcome,Not Marked-Not Marked
France-FR-1-1.txt,6119,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,500,1927,0,0,2,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,179,0,2,0,0,1,0,0,2
France-FR-1-2.txt,6973,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,718,0,0,0,5,0,0,243,384,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,789,0,0,0,5,0,0,0,4
France-FR-1-3.txt,3297,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,776,0,0,0,4,0,0,319,634,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,960,0,1,0,7,0,0,0,6
France-FR-1-4.txt,5372,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,1249,0,0,0,0,0,0,0,4602,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,128,0,1,0,0,0,0,0,10
France-FR-1-8.txt,12449,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,759,0,0,0,0,0,0,0,5
France-FR-1-5.txt,5396,0,0,0,0,0,0,0,97,0,56,0,0,0,0,0,566,0,0,0,0,0,0,0,1795,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,635,0,0,0,0,0,0,0,9
France-FR-1-9.txt,15332,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,1110,0,0,0,0,0,1,0,10838,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,859,0,1,0,0,0,0,0,4
France-FR-1-6.txt,230,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,321,0,1,0,0,0,0,0,4
France-FR-1-7.txt,234,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,186,0,0,0,0,0,0,0,8
France-FR-1-19.txt,137247,0,0,0,0,0,0,0,396,0,82,0,0,0,0,0,2190,0,0,0,1,0,0,0,6074,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1086,0,4,0,0,0,0,0,7
France-FR-1-10.txt,2985,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,300,1279,0,0,4,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,53,0,0,0,0,3,0,0,7
France-FR-1-11.txt,235,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,11
France-FR-1-12.txt,228,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1436,0,0,0,0,0,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,0,0,0,0,1,0,0,4
France-FR-1-14.txt,5966,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,0,1086,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,747,0,0,0,0,1,0,0,4
France-FR-1-13.txt,6682,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,333,2427,0,0,3,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,309,0,0,0,0,3,0,0,8
France-FR-1-15.txt,6684,0,0,0,0,0,1,0,37,0,0,0,0,0,0,1,693,3911,0,0,5,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,324,0,0,0,0,3,0,0,6
France-FR-1-16.txt,354,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,138,0,0,0,0,3,0,0,8
France-FR-1-17.txt,4197,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,435,2209,0,0,3,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,291,0,1,0,0,3,0,0,7
France-FR-1-18.txt,7908,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,0,6392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132,0,0,0,0,0,0,0,5
France-FR-1-20.txt,3004,0,0,0,0,0,2,0,66,0,0,0,0,0,0,0,500,1143,0,0,1,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,206,0,0,0,0,1,0,0,2
France-FR-1-21.txt,28139,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,1367,0,0,0,0,0,1,0,2424,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,639,0,0,0,0,0,0,0,5
France-FR-1-22.txt,232,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,471,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,0,0,0,0,1,0,0,4
France-FR-1-23.txt,249,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,716,0,0,2,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,0,0,0,0,3,0,0,6
France-FR-1-24.txt,2575,0,0,0,0,0,2,0,39,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,572,0,0,0,0,1,0,0,4
France-FR-1-25.txt,218,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,189,0,0,0,0,0,0,0,11
France-FR-1-26.txt,232,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,432,0,0,0,0,0,1,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,0,0,0,0,0,0,0,11
France-FR-1-27.txt,237,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,763,0,0,0,0,0,0,0,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,105,0,1,0,0,0,0,0,10
France-FR-1-28.txt,2740,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,597,0,0,0,0,3,0,0,8
France-FR-1-29.txt,239,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,1169,0,0,0,0,0,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,82,0,0,0,0,0,0,0,8
France-FR-1-31.txt,238,0,0,0,0,0,0,0,16,0,57,0,0,0,0,0,0,372,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,299,0,0,0,0,3,0,0,8
France-FR-1-30.txt,233,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,0,0,0,0,3,0,0,8
France-FR-1-32.txt,232,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,83,0,1,0,3,0,0,0,7
France-FR-1-33.txt,10433,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,4306,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,944,0,1,0,0,0,0,0,11
France-FR-1-34.txt,240,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,0,0,0,0,0,0,0,11
France-FR-1-35.txt,235,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,944,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,142,0,0,0,0,4,0,0,6
France-FR-1-36.txt,8155,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,644,1189,0,0,4,0,3,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,55,0,0,0,0,4,0,0,4
France-FR-1-38.txt,12229,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,1312,0,0,0,0,0,1,0,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1121,0,0,0,0,1,0,0,7
France-FR-1-37.txt,3985,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,955,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,763,0,0,0,0,3,0,1,3
France-FR-1-39.txt,14363,0,0,0,0,0,3,0,75,0,0,0,0,0,0,0,898,2785,0,0,4,0,1,0,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,170,0,0,0,0,4,0,0,4
France-FR-1-40.txt,229,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,189,0,0,0,0,0,0,0,8
France-FR-1-41.txt,9994,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,931,170,0,0,3,0,0,0,5895,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,682,0,0,0,0,3,0,0,8
France-FR-1-42.txt,3322,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,876,0,0,0,0,1,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,0,0,0,0,3,0,0,8
France-FR-1-43.txt,237,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,105,0,0,0,0,0,0,0,11
France-FR-1-44.txt,3763,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,846,0,0,0,0,3,0,0,8
France-FR-1-45.txt,236,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1101,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,236,0,0,0,0,3,0,0,8
France-FR-1-46.txt,233,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,1401,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,152,0,0,0,0,1,0,0,4
France-FR-1-47.txt,235,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,782,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,0,1,0,0,0,0,0,10
France-FR-1-48.txt,232,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,876,0,0,0,0,0,0,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,106,0,1,0,0,0,0,0,4
