Type,Document,Ordering,Text
L2 Outcome,Germany-DE-1-1.txt,0,Die Revision des Angeklagten gegen das Urteil des Landgerichts Potsdam vom 15. Oktober 2009 wird nach § 349 Abs. 2 StPO als unbegründet verworfen.
L2 Outcome,Germany-DE-1-1.txt,1,Der Beschwerdeführer hat die Kosten des Rechtsmittels zu tragen.
L1 Analysis,Germany-DE-1-1.txt,2,Lediglich ergänzend bemerkt der Senat:
L1 Analysis,Germany-DE-1-1.txt,3,"Die von der Revision für die Fälle IV.1 und 3 der Urteilsgründe erstrebte Teileinstellung des Verfahrens (§ 206a StPO) wegen Eintritt der absoluten Verjährung vor der Eröffnungsentscheidung (§ 78c Abs. 3 Satz 2, § 78 Abs. 3 Nr. 4, Abs. 4 StGB) kommt nicht in Betracht."
L1 Analysis,Germany-DE-1-1.txt,4,Aufgrund der Revisionsentscheidung des Senats vom 21. Mai 2008 sind der Schuldspruch und die Einzelstrafen rechtskräftig geworden.
L1 Analysis,Germany-DE-1-1.txt,5,"Der Wegfall der Einzelstrafe im Fall IV.2 wegen Eintritts der absoluten Verjährung führte dazu, dass das Landgericht im zweiten Urteil lediglich noch eine neue Gesamtstrafe zu bilden hatte; auszugehen war dabei von den Einzelstrafen, die im ersten Urteil für sämtliche übrigen Fälle festgesetzt worden waren."
L1 Analysis,Germany-DE-1-1.txt,6,"Nach der vorgenannten Senatsentscheidung steht mit bindender Wirkung für das weitere Verfahren – einschließlich des anhängigen Revisionsverfahrens – fest (§ 358 Abs. 1 StPO), dass das Verfahrenshindernis der absoluten Verfolgungsverjährung für sämtliche durch den Senat nicht nach § 206a StPO eingestellten Fälle nicht entstanden war."
L1 Analysis,Germany-DE-1-1.txt,7,"Allein das Wiederaufnahmeverfahren ist geeignet, im Revisionsverfahren nicht mehr zu beachtende neue Tatsachen zu berücksichtigen, nach denen sich die prozessuale Tat als verjährt darstellen könnte (Meyer-Goßner, StPO, 53. Aufl. § 359 Rdn. 22) ."
L2 Outcome,Germany-DE-1-2.txt,0,Die Rechtsbeschwerde der Gläubigerin gegen den Beschluss der 2. Zivilkammer des Landgerichts Bremen vom 27. Dezember 2010 wird auf ihre Kosten zurückgewiesen.
L2 Outcome,Germany-DE-1-2.txt,1,Gegenstandswert: bis 600 €
L1 Background,Germany-DE-1-2.txt,2,"1 Die Gläubigerin, ein Inkassobüro, betreibt gegen die Schuldnerin die Zwangsvollstreckung."
L1 Background,Germany-DE-1-2.txt,3,Die titulierte Forderung beruht auf einer vorsätzlich begangenen unerlaubten Handlung der Schuldnerin. 2
L1 Background,Germany-DE-1-2.txt,4,"Die Schuldnerin bezieht Arbeitslosengeld II in Höhe von monatlich 323 € sowie monatliche Leistungen für Unterkunft, Heizung und sonstige Nebenkosten in Höhe von 223,68 €. 3"
L1 Background,Germany-DE-1-2.txt,5,"Auf Antrag der Gläubigerin hat das Amtsgericht - Vollstreckungsgericht - am 26. Juli 2010 einen Pfändungs- und Überweisungsbeschluss erlassen, mit dem die angeblichen Forderungen der Schuldnerin gegen die Drittschuldnerin, ein Job-Center, auf Zahlung bereits fälliger und künftig fällig werdender einmaliger und laufender Geldleistungen aus Arbeitslosengeld II gepfändet und der Gläubigerin zur Einziehung überwiesen wurden."
L1 Background,Germany-DE-1-2.txt,6,"Der Drittschuldnerin wurde aufgegeben, von den Leistungen monatlich 40 € an die Gläubigerin abzuführen."
L1 Background,Germany-DE-1-2.txt,7,"Auf Erinnerung der Drittschuldnerin vom 31. August 2010 hat das Amtsgericht - Vollstreckungsgericht - den Pfändungs- und Überweisungsbeschluss dahin abgeändert, dass der monatliche Betrag von 40 € bei der Schuldnerin zu verbleiben hat."
L1 Background,Germany-DE-1-2.txt,8,Die dagegen gerichtete sofortige Beschwerde ist erfolglos geblieben.
L1 Background,Germany-DE-1-2.txt,9,"Mit der vom Beschwerdegericht zugelassenen Rechtsbeschwerde verfolgt die Gläubigerin ihren Antrag, die Drittschuldnerin zu verpflichten, von den Leistungen 40 € monatlich an sie abzuführen, weiter."
L1 Analysis,Germany-DE-1-2.txt,10,4 1. Die gemäß § 574 Abs. 1 Satz 1 Nr. 2 ZPO statthafte und auch im Übrigen zulässige Rechtsbeschwerde ist nicht begründet. 5
L1 Analysis,Germany-DE-1-2.txt,11,"Das Beschwerdegericht ist der Auffassung, eine Herabsetzung des Pfändungsfreibetrags nach § 850f Abs. 2 ZPO unter den der Schuldnerin nach dem Zweiten Buch Sozialgesetzbuch zustehenden Betrag komme nicht in Betracht."
L1 Analysis,Germany-DE-1-2.txt,12,"Denn auch die Zwangsvollstreckung wegen einer Forderung aus vorsätzlich begangener unerlaubter Handlung dürfe nicht dazu führen, dass der Schuldner seinen notwendigen Unterhalt nicht mehr bestreiten könne."
L1 Analysis,Germany-DE-1-2.txt,13,"Soweit der Gesetzgeber bei der Berechnung der Leistungen zur Sicherung des Lebensunterhalts im engeren Sinne nicht lebensnotwendige Bedürfnisse berücksichtigt habe, sei es nicht Aufgabe der Gerichte, den Gestaltungsspielraum des Gesetzgebers durch eigene Werturteile zu ersetzen."
L1 Analysis,Germany-DE-1-2.txt,14,Darüber hinaus gehöre zu einer existenzsichernden Ausstattung nicht lediglich die Alimentierung des für die Aufrechterhaltung der lebensnotwendigen Funktionen eines Menschen Notwendigen.
L1 Analysis,Germany-DE-1-2.txt,15,"Daran ändere auch die staatlicherseits gegebene Möglichkeit nichts, dass zur Erzwingung von Mitwirkungspflichten und bei der Verhängung von Geldstrafen auf Sozialleistungen zurückgegriffen werden könne."
L1 Analysis,Germany-DE-1-2.txt,16,Denn das individuelle Interesse des Privatgläubigers an der Durchsetzung seiner Forderung sei dem dem staatlichen Sanktionsanspruch zugrunde liegenden übergeordneten Interesse nicht gleichzusetzen und rechtfertige daher keinen so weitreichenden Eingriff wie die Kürzung der lebensnotwendigen Bezüge. 6 2.
L1 Analysis,Germany-DE-1-2.txt,17,Die Entscheidung des Beschwerdegerichts ist nicht zu beanstanden. 7 a)
L1 Analysis,Germany-DE-1-2.txt,18,"Unzutreffend ist die Auffassung der Beschwerdeführerin, die Erinnerung sei verspätet eingelegt worden."
L1 Analysis,Germany-DE-1-2.txt,19,"Die für den nicht angehörten Drittschuldner zulässige Erinnerung ist nicht fristgebunden (Seiler in Thomas/Putzo, ZPO, 32. Aufl. , § 766 Rn. 20; Musielak/Lackmann, ZPO, 8. Aufl. , § 766 Rn. 15 a. E. ;"
L1 Analysis,Germany-DE-1-2.txt,20,"Zöller/Stöber, ZPO, 28. Aufl. , § 766 Rn. 12; PG/Scheuch, ZPO, 3. Aufl. , § 766 Rn. 18, 28)."
L1 Analysis,Germany-DE-1-2.txt,21,"Für eine von der Rechtsbeschwerde für möglich gehaltene Analogie zu § 569 Abs. 1 Satz 1 und 2 ZPO ist kein Raum, weil insoweit keine planwidrige Gesetzeslücke vorliegt. 8 b )"
L1 Analysis,Germany-DE-1-2.txt,22,Das Beschwerdegericht hat auch in der Sache richtig entschieden.
L1 Analysis,Germany-DE-1-2.txt,23,Die Entscheidung entspricht der höchstrichterlichen Rechtsprechung.
L1 Analysis,Germany-DE-1-2.txt,24,Die Schuldnerin bezieht von der Drittschuldnerin keine über den Regelsätzen des 3. Kapitels des Zwölften Buches Sozialgesetzbuch liegende Leistungen.
L1 Analysis,Germany-DE-1-2.txt,25,"Der Senat hat mit Beschluss vom 25. November 2010 (VII ZB 111/09, NJW-RR 2011, 706 = JurBüro 2011, 213 = Rpfleger 2011, 164) entschieden, dass dem Schuldner bei der Zwangsvollstreckung wegen einer Forderung aus einer vorsätzlich begangenen unerlaubten Handlung für seinen notwendigen Unterhalt jedenfalls diese Regelsätze zu belassen sind."
L1 Analysis,Germany-DE-1-2.txt,26,Eine Pfändung kleiner Teilbeträge hieraus kommt dementsprechend nicht in Betracht.
L1 Analysis,Germany-DE-1-2.txt,27,Daran wird festgehalten.
L1 Analysis,Germany-DE-1-2.txt,28,Auf die dortige Begründung wird verwiesen. 9 c )
L1 Analysis,Germany-DE-1-2.txt,29,Die dagegen erhobenen Einwände der Gläubigerin greifen nicht durch. 10 aa)
L1 Analysis,Germany-DE-1-2.txt,30,"Im Zwangsvollstreckungsrecht hat der Gesetzgeber stets eine Interessenabwägung vorzunehmen, bei der er einerseits das berechtigte Interesse des Gläubigers an der Durchsetzung seiner Forderung und andererseits das Interesse des Schuldners an der Führung eines menschenwürdigen Lebens zu berücksichtigen hat."
L1 Analysis,Germany-DE-1-2.txt,31,An diese in den jeweiligen Vorschriften zum Ausdruck kommende Wertentscheidung des Gesetzgebers sind die Gerichte gebunden.
L1 Analysis,Germany-DE-1-2.txt,32,"Etwas anderes hat nur zu gelten, wenn das zur Entscheidung berufene Gericht das jeweils anzuwendende Gesetz für verfassungswidrig hält, Art. 100 GG."
L1 Analysis,Germany-DE-1-2.txt,33,"Dahingehende Bedenken hat der Senat hinsichtlich der Regelung des § 850f Abs. 2 ZPO nicht, wie auch bereits der Entscheidung vom 25. November 2010 zu entnehmen ist. 11 (1)"
L1 Analysis,Germany-DE-1-2.txt,34,"Der Gesetzgeber hat jedem nach dem Sozialstaatsgebot ein menschenwürdiges Existenzminimum zu sichern (BVerfG, NJW 2010, 505 Rn. 133)."
L1 Analysis,Germany-DE-1-2.txt,35,"Dementsprechend hat er in § 850f Abs. 2 ZPO bestimmt, dass dem Schuldner so viel zu belassen ist, wie er für seinen notwendigen Unterhalt bedarf."
L1 Analysis,Germany-DE-1-2.txt,36,"Die Regelleistungen nach dem Zwölften Buch Sozialgesetzbuch stellen nach der Wertung des Gesetzgebers das ""soziokulturelle"" Existenzminimum dar (BT-Drucks. 15/1516, S. 56) und sind damit dem notwendigen Lebensunterhalt gleichzusetzen."
L1 Analysis,Germany-DE-1-2.txt,37,Demgegenüber muss das durch Art. 14 GG geschützte Interesse des Gläubigers einer aus einer vorsätzlich begangenen unerlaubten Handlung erwachsenen Forderung zurücktreten.
L1 Analysis,Germany-DE-1-2.txt,38,"Dass, worauf die Rechtsbeschwerde als rein theoretische Möglichkeit hinweist, ein Schuldner, der dauerhaft nur diesen Regelsätzen entsprechende Einkünfte bezieht, vorsätzlich unerlaubte Handlungen zu Lasten des Gläubigers begehen könnte, ohne deshalb eine Zwangsvollstreckung fürchten zu müssen, muss insoweit in Kauf genommen werden."
L1 Analysis,Germany-DE-1-2.txt,39,"Ein Freibrief ist damit für den Schuldner nicht verbunden, weil er regelmäßig strafrechtlichen Sanktionen ausgesetzt sein wird. 12 (2)"
L1 Analysis,Germany-DE-1-2.txt,40,Der behauptete Verstoß gegen den Gleichheitsgrundsatz (Art. 3 Abs. 1 GG) liegt nicht vor.
L1 Analysis,Germany-DE-1-2.txt,41,"Auch wenn in Arbeitseinkommen vollstreckt wird, muss dem Schuldner so viel belassen werden, wie er für seinen notwendigen Unterhalt bedarf. 13 bb)"
L1 Analysis,Germany-DE-1-2.txt,42,"Verfehlt ist der Vorwurf der Rechtsbeschwerde, die Entscheidung des Beschwerdegerichts verstoße gegen das Willkürverbot."
L1 Analysis,Germany-DE-1-2.txt,43,"Der Gesetzgeber hat in § 850f Abs. 2 2. Halbsatz ZPO bestimmt, dass dem Schuldner so viel zu belassen ist, wie er für seinen notwendigen Unterhalt benötigt."
L1 Analysis,Germany-DE-1-2.txt,44,Daran ist - wie bereits ausgeführt - das Gericht gebunden.
L1 Analysis,Germany-DE-1-2.txt,45,"Es kommt daher nicht darauf an, ob und inwieweit der Gesetzgeber im Allgemeininteresse bei Pflichtverletzungen eines Empfängers von Leistungen nach dem Zweiten und Zwölften Buch Sozialgesetzbuch Kürzungen vorsieht; ebenso wenig ist es von Bedeutung, dass auch gegen Empfänger derartiger Leistungen Geldstrafen verhängt werden dürfen. 14 cc)"
L1 Analysis,Germany-DE-1-2.txt,46,Auch ein Verstoß gegen das Gebot rechtlichen Gehörs ist dem Beschwerdegericht nicht anzulasten.
L1 Analysis,Germany-DE-1-2.txt,47,"Die Rechtsbeschwerde wirft dem Beschwerdegericht vor, den Sachverhalt nicht umfassend aufgeklärt zu haben."
L1 Analysis,Germany-DE-1-2.txt,48,"Dies stellt keinen Verstoß gegen das Gebot rechtlichen Gehörs, Art. 103 Abs. 1 GG, dar."
L1 Analysis,Germany-DE-1-2.txt,49,"Ein solcher liegt nur vor, wenn das Gericht Vorbringen eines Beteiligten nicht oder nicht hinreichend zur Kenntnis nimmt."
L1 Analysis,Germany-DE-1-2.txt,50,Diese Voraussetzungen liegen nicht vor.
L1 Analysis,Germany-DE-1-2.txt,51,"Die Rechtsbeschwerde zeigt nicht auf, dass das Beschwerdegericht den Vortrag der Gläubigerin zu einem Unterhaltsanspruch der Schuldnerin gegenüber ihrem Ehemann, einem Nebenverdienst der Schuldnerin oder Zuwendungen an sie übergangen hätte. 15"
L1 Analysis,Germany-DE-1-2.txt,52,Die Kostenentscheidung beruht auf § 97 Abs. 1 ZPO.
L2 Outcome,Germany-DE-1-5.txt,0,"In der Beschwerdesache … betreffend die Markenanmeldung 306 58 034.9 hat der 33. Senat (Marken-Beschwerdesenat) des Bundespatentgerichts in der Sitzung vom 7. Dezember 2010 unter Mitwirkung des Vorsitzenden Richters Bender, der Richterin Dr. Hoppe und des Richters Kätker beschlossen:"
L2 Outcome,Germany-DE-1-5.txt,1,Auf die Beschwerde der Anmelderin wird der Beschluss der Markenstelle für Klasse 36 des Deutschen Patent- und Markenamts vom 16. Juni 2008 im Umfang der folgenden noch beanspruchten Dienstleistungen aufgehoben: Klasse 35:
L2 Outcome,Germany-DE-1-5.txt,2,Erstellung von Wirtschaftsprognosen; betriebswirtschaftliche Beratung bei Unternehmensverschmelzungen und Unternehmensaufkäufen;
L2 Outcome,Germany-DE-1-5.txt,3,"Klasse 36: Finanzwesen, Geldgeschäfte, Bankgeschäfte einschließlich im Internet und Tageshandel, Einlagengeschäfte, Kreditgeschäfte, Effektengeschäfte, Handelsfinanzierungen, Forfaitierungsgeschäfte, Depotgeschäfte, Leasinggeschäfte, Ausgabe von Wertpapieren, Arbitragegeschäfte (Finanzdienstleistungen), Factoring, Treuhandgeschäfte, Finanzanalysen, Beratung in Finanzangelegenheiten, Übernahme von Bürgschaften, finanzielle Schätzungen, Wertschätzungen, Vermittlung von Vermögensanlagen, Vermögensverwaltung, Vermögensberatung, Kapitaltransfer, Verwahrung von Wertstücken in Safes, Nachforschung in Geldangelegenheiten, Investment-Banking, Homebanking, Online-Broking, nämlich Dienstleistungen eines Wertpapiermaklers, Ausführen von Orders/"
L2 Outcome,Germany-DE-1-5.txt,4,"Aufträgen über den An- oder Verkauf von Wertpapieren über das Internet und anderen Onlinediensten, finanzielle Beratung bei Unternehmensverschmelzungen und Unternehmensaufkäufen."
L1 Background,Germany-DE-1-5.txt,5,"1 Am 18. September 2006 ist die Wortmarke 2 Oppenheim 3 für verschiedene Waren und Dienstleistungen der Klassen 9, 14, 16, 35, 36, 38 und 42 angemeldet worden, unter anderem für die im Entscheidungsausspruch aufgeführten Dienstleistungen (allerdings mit teilweise noch klärungsbedürftigen Dienstleistungsbegriffen). 4"
L1 Background,Germany-DE-1-5.txt,6,Mit Beschluss vom 16. Juni 2008 hat die Markenstelle für Klasse 36 die Anmeldung nach §§ 37 Abs. 1 MarkenG i. V. m. § 8 Abs. 2 Nr. 2
L1 Background,Germany-DE-1-5.txt,7,MarkenG zurückgewiesen.
L1 Background,Germany-DE-1-5.txt,8,Nach Auffassung der Markenstelle handelt es sich bei der angemeldeten Marke um eine freihaltungsbedürftige geografische Angabe.
L1 Background,Germany-DE-1-5.txt,9,"Oppenheim sei eine Kleinstadt am Oberrhein, die zwischen Mainz und Worms im Landkreis Main-Bingen gelegen sei."
