Type,Document,Start,End
L2 Outcome,Germany-DE-1-1.txt,4,218
L1 Analysis,Germany-DE-1-1.txt,4,1549
L1 Analysis,Germany-DE-1-2.txt,4,192
L1 Analysis,Germany-DE-1-2.txt,1606,8217
L2 Outcome,Germany-DE-1-2.txt,4,192
L1 Background,Germany-DE-1-2.txt,194,1604
L1 Analysis,Germany-DE-1-5.txt,4,1572
L1 Analysis,Germany-DE-1-5.txt,11442,29042
L2 Outcome,Germany-DE-1-5.txt,4,1572
L1 Background,Germany-DE-1-5.txt,1574,11440
L1 Analysis,Germany-DE-1-3.txt,4,320
L1 Analysis,Germany-DE-1-3.txt,3387,12455
L2 Outcome,Germany-DE-1-3.txt,4,320
L1 Background,Germany-DE-1-3.txt,322,3385
L1 Analysis,Germany-DE-1-6.txt,4,370
L1 Analysis,Germany-DE-1-6.txt,7865,16096
L2 Outcome,Germany-DE-1-6.txt,4,370
L1 Background,Germany-DE-1-6.txt,372,7863
L1 Analysis,Germany-DE-1-4.txt,4,355
L1 Analysis,Germany-DE-1-4.txt,2355,7962
L2 Outcome,Germany-DE-1-4.txt,4,355
L1 Background,Germany-DE-1-4.txt,357,2353
L1 Analysis,Germany-DE-1-7.txt,4,201
L1 Analysis,Germany-DE-1-7.txt,5156,22136
L2 Outcome,Germany-DE-1-7.txt,4,201
L1 Background,Germany-DE-1-7.txt,203,5154
L1 Analysis,Germany-DE-1-14.txt,4,716
L1 Analysis,Germany-DE-1-14.txt,9099,41396
L2 Outcome,Germany-DE-1-14.txt,4,716
L1 Background,Germany-DE-1-14.txt,718,9097
L2 Outcome,Germany-DE-1-8.txt,4,312
L1 Analysis,Germany-DE-1-8.txt,4,556
L1 Analysis,Germany-DE-1-8.txt,3060,20787
L1 Background,Germany-DE-1-8.txt,558,3058
L1 Analysis,Germany-DE-1-9.txt,4,180
L1 Analysis,Germany-DE-1-9.txt,981,8258
L2 Outcome,Germany-DE-1-9.txt,4,180
L1 Background,Germany-DE-1-9.txt,182,979
L1 Analysis,Germany-DE-1-10.txt,4,186
L1 Analysis,Germany-DE-1-10.txt,6445,21347
L2 Outcome,Germany-DE-1-10.txt,4,186
L1 Background,Germany-DE-1-10.txt,188,6443
L1 Analysis,Germany-DE-1-11.txt,4,336
L1 Analysis,Germany-DE-1-11.txt,6455,16753
L2 Outcome,Germany-DE-1-11.txt,4,336
L1 Background,Germany-DE-1-11.txt,338,6453
L1 Analysis,Germany-DE-1-12.txt,4,616
L1 Analysis,Germany-DE-1-12.txt,4638,18915
L2 Outcome,Germany-DE-1-12.txt,4,616
L1 Background,Germany-DE-1-12.txt,618,4636
L1 Analysis,Germany-DE-1-15.txt,4,734
L1 Analysis,Germany-DE-1-15.txt,5064,15557
L2 Outcome,Germany-DE-1-15.txt,4,734
L1 Background,Germany-DE-1-15.txt,736,5062
L2 Outcome,Germany-DE-1-13.txt,4,592
L1 Analysis,Germany-DE-1-13.txt,4,592
L1 Analysis,Germany-DE-1-13.txt,1894,4362
L1 Background,Germany-DE-1-13.txt,594,1892
L1 Analysis,Germany-DE-1-16.txt,4,1595
L1 Analysis,Germany-DE-1-16.txt,2936,7520
L2 Outcome,Germany-DE-1-16.txt,4,1595
L1 Background,Germany-DE-1-16.txt,1597,2934
L1 Analysis,Germany-DE-1-17.txt,4,756
L1 Analysis,Germany-DE-1-17.txt,2375,6267
L2 Outcome,Germany-DE-1-17.txt,4,756
L1 Background,Germany-DE-1-17.txt,758,2373
L1 Analysis,Germany-DE-1-18.txt,4,401
L1 Analysis,Germany-DE-1-18.txt,1958,3819
L2 Outcome,Germany-DE-1-18.txt,4,401
L1 Background,Germany-DE-1-18.txt,403,1956
L2 Outcome,Germany-DE-1-22.txt,4,9015
L1 Analysis,Germany-DE-1-22.txt,4,9015
L1 Analysis,Germany-DE-1-22.txt,16533,64173
L1 Background,Germany-DE-1-22.txt,9017,16531
L1 Analysis,Germany-DE-1-19.txt,4,468
L1 Analysis,Germany-DE-1-19.txt,3891,14213
L2 Outcome,Germany-DE-1-19.txt,4,468
L1 Background,Germany-DE-1-19.txt,470,3889
L2 Outcome,Germany-DE-1-20.txt,4,319
L1 Analysis,Germany-DE-1-20.txt,4,435
L1 Analysis,Germany-DE-1-20.txt,5882,18188
L1 Background,Germany-DE-1-20.txt,437,5880
L2 Outcome,Germany-DE-1-21.txt,4,756
L1 Analysis,Germany-DE-1-21.txt,4,756
L1 Analysis,Germany-DE-1-21.txt,4762,21250
L1 Background,Germany-DE-1-21.txt,758,4760
L1 Analysis,Germany-DE-1-25.txt,4,412
L1 Analysis,Germany-DE-1-25.txt,13377,38644
L2 Outcome,Germany-DE-1-25.txt,4,412
L1 Background,Germany-DE-1-25.txt,414,13375
L1 Analysis,Germany-DE-1-27.txt,4,591
L1 Analysis,Germany-DE-1-27.txt,9674,24269
L2 Outcome,Germany-DE-1-27.txt,4,591
L1 Background,Germany-DE-1-27.txt,593,9672
L1 Analysis,Germany-DE-1-23.txt,4,553
L1 Analysis,Germany-DE-1-23.txt,4430,8812
L2 Outcome,Germany-DE-1-23.txt,4,553
L1 Background,Germany-DE-1-23.txt,555,4428
L1 Analysis,Germany-DE-1-24.txt,4,279
L1 Analysis,Germany-DE-1-24.txt,5366,26368
L2 Outcome,Germany-DE-1-24.txt,4,279
L1 Background,Germany-DE-1-24.txt,281,5364
L1 Analysis,Germany-DE-1-26.txt,4,200
L1 Analysis,Germany-DE-1-26.txt,7706,16638
L2 Outcome,Germany-DE-1-26.txt,4,200
L1 Background,Germany-DE-1-26.txt,202,7704
