Type,Document,Start,End
L0 Out of Scope,Germany-DE-1-1.txt,2,203
L0 Heading,Germany-DE-1-1.txt,205,210
L0 Out of Scope,Germany-DE-1-1.txt,1757,1793
L1 Analysis,Germany-DE-1-1.txt,205,1755
L2 Outcome,Germany-DE-1-1.txt,205,424
L0 Out of Scope,Germany-DE-1-2.txt,2,313
L0 Heading,Germany-DE-1-2.txt,510,516
L0 Out of Scope,Germany-DE-1-2.txt,8550,8595
L0 Heading,Germany-DE-1-2.txt,518,520
L0 Heading,Germany-DE-1-2.txt,1930,1933
L0 Heading,Germany-DE-1-2.txt,8488,8492
L1 Analysis,Germany-DE-1-2.txt,1930,8548
L0 Out of Scope,Germany-DE-1-5.txt,2,220
L0 Heading,Germany-DE-1-5.txt,222,227
L0 Heading,Germany-DE-1-5.txt,1797,1803
L0 Heading,Germany-DE-1-5.txt,1805,1807
L0 Heading,Germany-DE-1-5.txt,11673,11676
L1 Analysis,Germany-DE-1-5.txt,11673,29276
L1 Background,Germany-DE-1-5.txt,1797,11671
L1 Analysis,Germany-DE-1-5.txt,222,1795
L2 Outcome,Germany-DE-1-5.txt,222,1795
L0 Out of Scope,Germany-DE-1-3.txt,2,202
L0 Heading,Germany-DE-1-3.txt,204,209
L1 Analysis,Germany-DE-1-3.txt,204,525
L2 Outcome,Germany-DE-1-3.txt,204,525
L0 Heading,Germany-DE-1-3.txt,527,533
L0 Heading,Germany-DE-1-3.txt,535,537
L1 Background,Germany-DE-1-3.txt,527,3598
L0 Heading,Germany-DE-1-3.txt,3600,3603
L1 Analysis,Germany-DE-1-3.txt,3600,12671
L0 Out of Scope,Germany-DE-1-6.txt,2,204
L0 Heading,Germany-DE-1-6.txt,206,211
L1 Analysis,Germany-DE-1-6.txt,206,577
L2 Outcome,Germany-DE-1-6.txt,206,577
L0 Heading,Germany-DE-1-6.txt,579,585
L0 Heading,Germany-DE-1-6.txt,587,589
L0 Heading,Germany-DE-1-6.txt,8080,8083
L1 Analysis,Germany-DE-1-6.txt,8080,16314
L0 Out of Scope,Germany-DE-1-4.txt,2,185
L0 Heading,Germany-DE-1-4.txt,187,192
L1 Analysis,Germany-DE-1-4.txt,187,543
L2 Outcome,Germany-DE-1-4.txt,187,543
L0 Heading,Germany-DE-1-4.txt,545,551
L0 Heading,Germany-DE-1-4.txt,553,555
L1 Background,Germany-DE-1-4.txt,545,2549
L0 Heading,Germany-DE-1-4.txt,2551,2554
L1 Analysis,Germany-DE-1-4.txt,2551,8161
L0 Out of Scope,Germany-DE-1-7.txt,2,239
L0 Heading,Germany-DE-1-7.txt,241,246
L1 Analysis,Germany-DE-1-7.txt,241,443
L2 Outcome,Germany-DE-1-7.txt,241,443
L0 Heading,Germany-DE-1-7.txt,445,451
L0 Out of Scope,Germany-DE-1-7.txt,22538,22657
L1 Background,Germany-DE-1-7.txt,445,5402
L1 Analysis,Germany-DE-1-7.txt,5404,22536
L0 Out of Scope,Germany-DE-1-14.txt,2,1641
L0 Heading,Germany-DE-1-14.txt,1643,1648
L1 Analysis,Germany-DE-1-14.txt,1643,2360
L2 Outcome,Germany-DE-1-14.txt,1643,2360
L0 Heading,Germany-DE-1-14.txt,2362,2372
L1 Background,Germany-DE-1-14.txt,2362,10751
L0 Heading,Germany-DE-1-14.txt,10753,10772
L0 Heading,Germany-DE-1-14.txt,11294,11296
L0 Heading,Germany-DE-1-14.txt,21826,21829
L0 Heading,Germany-DE-1-14.txt,41775,41779
L0 Heading,Germany-DE-1-14.txt,42876,42879
L1 Analysis,Germany-DE-1-14.txt,10753,43081
L0 Out of Scope,Germany-DE-1-8.txt,2,320
L0 Heading,Germany-DE-1-8.txt,322,327
L0 Heading,Germany-DE-1-8.txt,637,643
L2 Outcome,Germany-DE-1-8.txt,322,635
L0 Heading,Germany-DE-1-2.txt,315,320
L1 Analysis,Germany-DE-1-2.txt,315,508
L2 Outcome,Germany-DE-1-2.txt,315,508
L1 Background,Germany-DE-1-2.txt,510,1928
L1 Analysis,Germany-DE-1-8.txt,322,885
L1 Background,Germany-DE-1-8.txt,887,3387
L1 Analysis,Germany-DE-1-8.txt,3389,21116
L0 Out of Scope,Germany-DE-1-9.txt,2,240
L0 Heading,Germany-DE-1-9.txt,242,247
L0 Heading,Germany-DE-1-9.txt,425,431
L0 Heading,Germany-DE-1-9.txt,433,435
L0 Heading,Germany-DE-1-9.txt,1232,1235
L0 Heading,Germany-DE-1-9.txt,8413,8417
L0 Out of Scope,Germany-DE-1-9.txt,8518,8632
L1 Analysis,Germany-DE-1-9.txt,242,423
L2 Outcome,Germany-DE-1-9.txt,242,423
L1 Background,Germany-DE-1-9.txt,425,1230
L1 Analysis,Germany-DE-1-9.txt,1232,8516
L0 Out of Scope,Germany-DE-1-10.txt,2,61
L0 Heading,Germany-DE-1-10.txt,63,68
L0 Heading,Germany-DE-1-10.txt,252,262
L1 Analysis,Germany-DE-1-10.txt,63,250
L2 Outcome,Germany-DE-1-10.txt,63,250
L1 Background,Germany-DE-1-10.txt,252,6517
L0 Heading,Germany-DE-1-10.txt,6519,6538
L1 Analysis,Germany-DE-1-10.txt,6519,21440
L0 Out of Scope,Germany-DE-1-11.txt,2,267
L0 Heading,Germany-DE-1-11.txt,269,274
L1 Analysis,Germany-DE-1-11.txt,269,606
L2 Outcome,Germany-DE-1-11.txt,269,606
L0 Heading,Germany-DE-1-11.txt,608,614
L0 Heading,Germany-DE-1-11.txt,616,617
L0 Heading,Germany-DE-1-11.txt,6732,6734
L1 Background,Germany-DE-1-11.txt,608,6730
L1 Analysis,Germany-DE-1-11.txt,6732,17032
L0 Out of Scope,Germany-DE-1-12.txt,2,225
L0 Heading,Germany-DE-1-12.txt,227,232
L1 Analysis,Germany-DE-1-12.txt,227,844
L2 Outcome,Germany-DE-1-12.txt,227,844
L0 Heading,Germany-DE-1-12.txt,846,852
L0 Heading,Germany-DE-1-12.txt,854,856
L0 Heading,Germany-DE-1-12.txt,4874,4877
L1 Background,Germany-DE-1-12.txt,846,4872
L1 Analysis,Germany-DE-1-12.txt,4874,19154
L0 Out of Scope,Germany-DE-1-15.txt,2,296
L0 Heading,Germany-DE-1-15.txt,298,303
L1 Analysis,Germany-DE-1-15.txt,298,1033
L2 Outcome,Germany-DE-1-15.txt,298,1033
L0 Heading,Germany-DE-1-15.txt,1035,1041
L0 Heading,Germany-DE-1-15.txt,1043,1045
L0 Heading,Germany-DE-1-15.txt,5371,5374
L1 Background,Germany-DE-1-15.txt,1035,5369
L1 Analysis,Germany-DE-1-15.txt,5371,15867
L0 Out of Scope,Germany-DE-1-13.txt,2,292
L0 Heading,Germany-DE-1-13.txt,294,299
L0 Heading,Germany-DE-1-13.txt,889,895
L2 Outcome,Germany-DE-1-13.txt,294,887
L1 Analysis,Germany-DE-1-13.txt,2195,4663
L0 Out of Scope,Germany-DE-1-13.txt,4665,4700
L0 Out of Scope,Germany-DE-1-16.txt,2,248
L0 Heading,Germany-DE-1-16.txt,250,255
L1 Analysis,Germany-DE-1-16.txt,250,1846
L2 Outcome,Germany-DE-1-16.txt,250,1846
L0 Heading,Germany-DE-1-16.txt,1848,1854
L0 Out of Scope,Germany-DE-1-16.txt,7779,7824
L0 Out of Scope,Germany-DE-1-17.txt,2,222
L0 Heading,Germany-DE-1-17.txt,224,229
L0 Heading,Germany-DE-1-17.txt,983,989
L0 Heading,Germany-DE-1-17.txt,991,993
L1 Analysis,Germany-DE-1-17.txt,224,981
L2 Outcome,Germany-DE-1-17.txt,224,981
L0 Heading,Germany-DE-1-17.txt,2608,2611
L1 Background,Germany-DE-1-17.txt,983,2606
L1 Analysis,Germany-DE-1-17.txt,2608,6503
L0 Out of Scope,Germany-DE-1-17.txt,6505,6544
L0 Out of Scope,Germany-DE-1-18.txt,2,255
L0 Heading,Germany-DE-1-18.txt,257,262
L0 Heading,Germany-DE-1-18.txt,661,667
L1 Analysis,Germany-DE-1-18.txt,257,659
L2 Outcome,Germany-DE-1-18.txt,257,659
L1 Background,Germany-DE-1-18.txt,661,2220
L1 Analysis,Germany-DE-1-18.txt,2222,4083
L0 Out of Scope,Germany-DE-1-18.txt,4085,4120
L0 Out of Scope,Germany-DE-1-22.txt,2,1718
L0 Heading,Germany-DE-1-22.txt,1720,1725
L2 Outcome,Germany-DE-1-22.txt,1720,10736
L0 Heading,Germany-DE-1-22.txt,10738,10748
L1 Background,Germany-DE-1-22.txt,10738,18262
L0 Heading,Germany-DE-1-22.txt,18264,18283
L0 Heading,Germany-DE-1-22.txt,18285,18287
L0 Heading,Germany-DE-1-22.txt,18659,18662
L0 Heading,Germany-DE-1-22.txt,27257,27261
L0 Heading,Germany-DE-1-22.txt,39004,39007
L0 Heading,Germany-DE-1-22.txt,57668,57670
L0 Heading,Germany-DE-1-22.txt,65766,65769
L1 Analysis,Germany-DE-1-22.txt,18264,65973
L0 Out of Scope,Germany-DE-1-19.txt,2,229
L0 Heading,Germany-DE-1-19.txt,231,236
L0 Heading,Germany-DE-1-19.txt,702,708
L1 Analysis,Germany-DE-1-19.txt,231,700
L2 Outcome,Germany-DE-1-19.txt,231,700
L0 Heading,Germany-DE-1-19.txt,710,712
L0 Heading,Germany-DE-1-19.txt,4131,4134
L1 Background,Germany-DE-1-19.txt,702,4129
L1 Analysis,Germany-DE-1-19.txt,4131,14456
L0 Out of Scope,Germany-DE-1-20.txt,2,224
L0 Heading,Germany-DE-1-20.txt,226,231
L2 Outcome,Germany-DE-1-20.txt,226,546
L0 Heading,Germany-DE-1-20.txt,548,554
