Type,Document,Ordering,Text
L1 Background,Italy-IT-1-16.txt,0,"Con ordinanza dell'i agosto 2018 il Tribunale del riesame di Napoli ha annullato, ai sensi dell'art. 309 cod. proc. pen. , l'ordinanza applicativa della misura cautelare della custodia in carcere emessa dal Giudice per le indagini preliminari del Tribunale di Torre Annunziata nei confronti di Maria Carfora in relazione ai reati di incendio (capo b) ed atti persecutori (capo c)."
L1 Background,Italy-IT-1-16.txt,1,"Il Collegio partenopeo ha motivato la decisione sul rilievo che, se per altro episodio criminoso - il danneggiamento di una autovettura contestato al capo a) e risalente al 12 novembre 2017, per il quale non è stato emesso titolo cautelare - la responsabilità della Carfora è attestata da un consistente ed univoco quadro indiziario, arricchito dalle dichiarazioni confessorie dell'indagata, a diverse conclusioni deve pervenirsi in ordine alle residue imputazioni, che la pubblica accusa iscrive nella cornice della strategia offensiva che la Carfora avrebbe posto in essere ai danni di Iolanda Di Gennaro, a lei invisa perché sentimentalmente legata a Carmine Di Vuolo, coinvolto nella gestione di un'attività commerciale insieme al figlio della Carfora, la quale aveva con lui intrattenuto una breve relazione e nutriva nei suoi confronti persistente interesse."
L1 Background,Italy-IT-1-16.txt,2,"Per quanto riguarda il danneggiamento ascritto alla Carfora, avvenuto il 31 marzo 2018 ed avente ad oggetto un'altra autovettura della Di Gennaro (la quale, il 23 giugno 2017, aveva subito il danneggiamento di un terzo veicolo, episodio al quale la Carfora è sicuramente estranea e che è stato ricondotto ad altra similare vicenda di gelosia, legata a distinti ambiti familiari), il Tribunale del riesame nota, innanzitutto, che i tre episodi, pur se correlati a personali vicende di tipo sentimentale, si inseriscono in contesti operativi di connotazione criminale «qualificata», come dimostrato dalla caratura dei soggetti coinvolti e dalle modalità con cui gli autori delle condotte si sono attivati per la risoluzione di problematiche di natura personale, nonché dalle parole della stessa persona offesa che, intercettata mentre colloquia con Di Vuolo, gli rappresenta che intende contrapporre alla Carfora l'intervento di soggetti appartenenti ad ambienti malavitosi."
L1 Background,Italy-IT-1-16.txt,3,"Quest'ultimo rilievo offre il destro al Tribunale del riesame per rivisitare in senso critico il giudizio di attendibilità della Di Gennaro, palesando ella un atteggiamento reattivo ed una intenzione vendicativa incompatibili con il denunciato timore che concorre alla realizzazione dell'evento del delitto di atti persecutori."
L1 Background,Italy-IT-1-16.txt,4,"Analogamente, il trasferimento in altra città, che la vittima ricollega alle minacce della Carfora, viene riletto dal Tribunale del riesame alla luce delle opportunità lavorative connesse a tale scelta."
L1 Background,Italy-IT-1-16.txt,5,"Avuto riguardo, poi, all'individuazione nella Carfora dell'autrice dell'incendio contestato al capo b), il Tribunale del riesame esclude la ricorrenza di gravi indizi di colpevolezza sulla scorta del carattere meramente ipotetico delle accuse provenienti dalla persona offesa e da Di Vuolo e all'assenza di tranquillizzanti riscontri di fonte esterna in ordine alle circostanze che, a dire di entrambi, si porrebbero a carico dell'odierna indagata e che, tuttavia, non trovano conferma nella mole di conversazioni occultamente captate."
L1 Background,Italy-IT-1-16.txt,6,"La necessità di vagliare con cautela l'apporto della Di Gennaro e di Di Vuolo e le perplessità sulla loro totale attendibilità, rese più concrete da possibili ragioni di interesse e\o rancore che li animerebbero, induce, in conclusione, il Tribunale del riesame a negare la ricorrenza di un solido ed univoco quadro accusatorio a carico della Carfora in relazione ad entrambi i reati oggetto dell'ordinanza cautelare."
L1 Background,Italy-IT-1-16.txt,7,"Il Procuratore della Repubblica presso il Tribunale di Torre Annunziata ha proposto ricorso per cassazione, affidato ad un unico, complesso motivo con il quale deduce travisamento del fatto ed illogicità della motivazione."
L1 Background,Italy-IT-1-16.txt,8,"Assume, in primo luogo, che il Tribunale del riesame, pur consapevole che la Carfora si è resa autrice del danneggiamento del 12 novembre 2017, trascura come il movente della gelosia, indiscutibilmente posto a fondamento del primo atto illecito, si comunichi al più recente episodio del 31 marzo 2018."
L1 Background,Italy-IT-1-16.txt,9,"Segnala, in proposito, che dalle conversazioni censurate emerge chiaramente il timore della Di Gennaro per la ripetizione degli attentati ai suoi danni che ella riconduce con assoluta certezza alla Carfora, tanto da prospettare l'ipotesi di affidarsi — per la possibile soluzione della vertenza — a soggetti appartenenti ad ambienti criminali che siano in grado di confrontarsi con la temuta «Maria 'a fuoca»."
