Type,Document,Start,End
L1 Background,Italy-IT-1-16.txt,4,6779
L1 Analysis,Italy-IT-1-16.txt,6783,16608
L2 Outcome,Italy-IT-1-16.txt,16517,16608
L1 Background,Italy-IT-1-15.txt,2,2355
L1 Analysis,Italy-IT-1-15.txt,2359,4181
L2 Outcome,Italy-IT-1-15.txt,3974,4181
L1 Background,Italy-IT-1-17.txt,0,2682
L1 Analysis,Italy-IT-1-17.txt,2686,10524
L2 Outcome,Italy-IT-1-17.txt,10440,10522
L1 Background,Italy-IT-1-19.txt,1,1164
L1 Analysis,Italy-IT-1-19.txt,1168,4702
L2 Outcome,Italy-IT-1-19.txt,4419,4702
L1 Background,Italy-IT-1-20.txt,4,2311
L1 Analysis,Italy-IT-1-20.txt,2311,5855
L2 Outcome,Italy-IT-1-20.txt,5513,5855
L1 Background,Italy-IT-1-21.txt,0,3802
L1 Analysis,Italy-IT-1-21.txt,3806,10038
L2 Outcome,Italy-IT-1-21.txt,9940,10038
L1 Background,Italy-IT-1-22.txt,1,4056
L1 Analysis,Italy-IT-1-22.txt,4060,9309
L2 Outcome,Italy-IT-1-22.txt,9006,9309
L1 Background,Italy-IT-1-23.txt,1,6328
L1 Analysis,Italy-IT-1-23.txt,6332,16653
L2 Outcome,Italy-IT-1-23.txt,16611,16653
L1 Background,Italy-IT-1-24.txt,4,8717
L1 Analysis,Italy-IT-1-24.txt,8721,14234
L2 Outcome,Italy-IT-1-24.txt,14151,14234
L1 Background,Italy-IT-1-26.txt,8,5224
L1 Analysis,Italy-IT-1-26.txt,5224,14914
L2 Outcome,Italy-IT-1-26.txt,14752,14914
L1 Background,Italy-IT-1-25.txt,4,949
L1 Analysis,Italy-IT-1-25.txt,953,2658
L2 Outcome,Italy-IT-1-25.txt,2577,2658
L1 Background,Italy-IT-1-27.txt,1,5940
L1 Analysis,Italy-IT-1-27.txt,5944,16965
L2 Outcome,Italy-IT-1-27.txt,16907,16965
L1 Background,Italy-IT-1-28.txt,4,963
L1 Analysis,Italy-IT-1-28.txt,967,4383
L2 Outcome,Italy-IT-1-28.txt,4226,4383
L1 Background,Italy-IT-1-29.txt,1,1328
L1 Analysis,Italy-IT-1-29.txt,1332,6403
L2 Outcome,Italy-IT-1-29.txt,6240,6403
L1 Background,Italy-IT-1-30.txt,4,2347
