Type,Document,Start,End
L0 Out of Scope,Italy-IT-1-16.txt,0,391
L0 Out of Scope,Italy-IT-1-16.txt,17076,17103
L0 Heading,Italy-IT-1-16.txt,395,412
L0 Heading,Italy-IT-1-16.txt,416,418
L0 Heading,Italy-IT-1-16.txt,4125,4127
L0 Heading,Italy-IT-1-16.txt,7195,7224
L0 Heading,Italy-IT-1-16.txt,7249,7251
L0 Heading,Italy-IT-1-16.txt,10163,10165
L0 Heading,Italy-IT-1-16.txt,12234,12237
L0 Heading,Italy-IT-1-16.txt,12432,12435
L0 Heading,Italy-IT-1-16.txt,12426,12428
L0 Heading,Italy-IT-1-16.txt,15196,15204
L0 Heading,Italy-IT-1-16.txt,16978,16984
L1 Background,Italy-IT-1-16.txt,395,7191
L2 Outcome,Italy-IT-1-16.txt,16978,17075
L0 Out of Scope,Italy-IT-1-15.txt,0,352
L0 Out of Scope,Italy-IT-1-15.txt,4585,4701
L2 Outcome,Italy-IT-1-15.txt,4374,4585
L0 Heading,Italy-IT-1-15.txt,4374,4378
L0 Heading,Italy-IT-1-15.txt,354,371
L0 Heading,Italy-IT-1-15.txt,1699,1702
L0 Heading,Italy-IT-1-15.txt,2289,2291
L1 Background,Italy-IT-1-15.txt,354,2729
L0 Out of Scope,Italy-IT-1-17.txt,0,676
L0 Heading,Italy-IT-1-17.txt,676,693
L0 Heading,Italy-IT-1-17.txt,697,700
L0 Heading,Italy-IT-1-17.txt,1352,1354
L0 Heading,Italy-IT-1-17.txt,2007,2009
L0 Heading,Italy-IT-1-17.txt,2148,2150
L0 Heading,Italy-IT-1-17.txt,2564,2566
L0 Out of Scope,Italy-IT-1-17.txt,2865,2874
L0 Heading,Italy-IT-1-17.txt,3399,3421
L0 Heading,Italy-IT-1-17.txt,3470,3472
L0 Heading,Italy-IT-1-17.txt,3978,3980
L0 Heading,Italy-IT-1-17.txt,4822,4824
L0 Heading,Italy-IT-1-17.txt,6291,6293
L0 Heading,Italy-IT-1-17.txt,6887,6889
L0 Heading,Italy-IT-1-17.txt,8912,8914
L0 Heading,Italy-IT-1-17.txt,9617,9619
L0 Heading,Italy-IT-1-17.txt,9998,10000
