Type,Document,Ordering,Text
L2 Outcome,Poland-PL-1-1.txt,0,"Sąd Najwyższy po rozpoznaniu w Izbie Karnej w dniu 24 marca 2015 r., sprawy R. G., skazanego za przestępstwo z art. 156 § 3 KK i in., z powodu kasacji, wniesionej przez obrońcę skazanego, od wyroku Sądu Apelacyjnego w Gdańsku, z dnia 20 maja 2014 r., sygn. akt II AKA 121/14, utrzymującego w mocy wyrok Sądu Okręgowego w Gdańsku, z dnia 27 listopada 2013 r., sygn. akt IV K 216/12, postanowił: 1. oddalić kasację, jako oczywiście bezzasadną; 2. zasądzić od Skarbu Państwa na rzecz adw. K. J. - Kancelaria Adwokacka w G. - kwotę 738 zł (siedemset trzydzieści osiem złotych) - w tym 23 % podatku VAT - tytułem kosztów nieopłaconej pomocy prawnej udzielonej skazanemu R. G. z urzędu w postępowaniu kasacyjnym; 3. zwolnić skazanego od kosztów sądowych postępowania kasacyjnego i poniesionymi w jego toku wydatkami obciążyć Skarb Państwa."
L1 Background,Poland-PL-1-1.txt,1,"Wyrokiem Sądu Okręgowego w G. z dnia 27 listopada 2013 r., sygn. akt IV K 216/12, oskarżony R. G. został uznany za winnego popełnienia przestępstwa z art. 156 § 1 pkt 2 i § 3 KK w zw. z art. 64 § 1 KK, za które na podstawie art. 156 § 3 KK wymierzono mu karę (dziesięciu) lat pozbawienia wolności."
L1 Background,Poland-PL-1-1.txt,2,"Sąd Apelacyjny w G. wyrokiem z dnia 20 maja 2014 r., sygn. akt II AKA 121/14, po rozpoznaniu apelacji wniesionej przez obrońcę oskarżonego R. G., utrzymał w mocy wyrok Sądu Okręgowego w G. uznając apelację za oczywiście bezzasadną."
L1 Background,Poland-PL-1-1.txt,3,"Kasację od prawomocnego wyroku Sądu Apelacyjnego w G. z dnia 20 maja 2014 r. wniósł obrońca skazanego R. G. zarzucając „rażące naruszenie prawa, które miało istotny wpływ na treść wyroku, a w szczególności: 1. rażące naruszenie przepisów prawa procesowego, mające istotny wpływ na treść rozstrzygnięcia, poprzez brak prawidłowej kontroli odwoławczej zaskarżonego wyroku sądu pierwszej instancji i zaakceptowanie przez sąd odwoławczy wybiórczej a przez to dowolnej oceny dowodów, dokonanej przez Sąd pierwszej instancji, tj. naruszenie art. 433 § 1 i 2 KPK w zw. z art. 7 KPK oraz art. 410 KPK, 2. rażące naruszenie przepisów prawa procesowego, mające istotny wpływ na treść rozstrzygnięcia, poprzez brak prawidłowej kontroli odwoławczej zaskarżonego wyroku sądu pierwszej instancji i zaakceptowanie przez sąd odwoławczy zaniechania przez Sąd Okręgowy obowiązku dążenia do ustalenia prawdy materialnej i oddalenia wniosku dowodowego oskarżonego o wydanie opinii uzupełniającej biegłego z zakresu badań biologicznych, tj. naruszenia art. 433 § 1 i 2 KPK w zw. z art. 2 § 2 KPK w zw. z art. 4 KPK oraz art. 167 KPK i 170 § 2 i 5 KPK, 3. naruszenie przepisów prawa procesowego, tj. art. 440 KPK w zw. z art. 437 § 1 KPK poprzez ich nieprawidłowe zastosowanie a polegające na utrzymaniu w mocy rażąco niesprawiedliwego wyroku skazującego w stosunku do R. G. w sytuacji, gdy prawidłowo przeprowadzona kontrola instancyjna winna doprowadzić do wniosku, że materiał dowodowy zebrany w sprawie nie pozwala na przypisanie skazanemu R. G. przestępstwa kwalifikowanego z art. 156 § 1 pkt 2 i 3 KK w zw. z art. 64 § 1 KK, a polegającego na działaniu w zamiarze bezpośrednim spowodowania u S. G. ciężkiego uszczerbku na zdrowiu w następstwie czego doszło do jego śmierci w dniu 9 kwietnia 2012 roku, a zatem że ocena dowodów przeprowadzona przez Sąd I instancji jest błędna”."
L1 Background,Poland-PL-1-1.txt,4,W konkluzji obrońca skazanego R. G. wniósł o uchylenie zaskarżonego wyroku w całości i przekazanie sprawy Sądowi II instancji do ponownego rozpoznania.
L1 Background,Poland-PL-1-1.txt,5,Prokurator Prokuratury Apelacyjnej w G. w pisemnej odpowiedzi na kasację wniósł o jej oddalenie jako oczywiście bezzasadnej.
L1 Analysis,Poland-PL-1-1.txt,6,"Kasacja obrońcy skazanego R. G. jest bezzasadna i to w stopniu oczywistym, uzasadniającym jej oddalenie w trybie art. 535 § 3 KPK W pierwszej kolejności wypada przypomnieć, że zgodnie z przepisem art. 523 § 1 KPK kasacja może być wniesiona tylko z powodu uchybień wymienionych w art. 439 KPK lub innego rażącego naruszenia prawa, jeżeli mogło ono mieć istotny wpływ na treść orzeczenia."
L1 Analysis,Poland-PL-1-1.txt,7,"Nie można bowiem zapominać, że kasacja jest nadzwyczajnym środkiem zaskarżenia i pomyślana jest jako procesowy środek prowadzący do eliminowania z obrotu prawnego takich orzeczeń sądowych, które ze względu na stopień (rangę) wadliwości nie powinny funkcjonować w demokratycznym państwie prawnym."
L1 Analysis,Poland-PL-1-1.txt,8,"Ponadto nie ulega wątpliwości, że wobec jednoznacznej redakcji tego przepisu, niedopuszczalne jest kwestionowanie w trybie kasacji zasadności dokonanych w sprawie ustaleń faktycznych."
L1 Analysis,Poland-PL-1-1.txt,9,"Zatem, Sąd Najwyższy przy jej rozpoznaniu nie jest władny dokonywać ponownej oceny dowodów i w oparciu o tak przeprowadzoną własną ocenę sprawdzać poprawność dokonanych w sprawie ustaleń faktycznych."
