Type,Document,Start,End
L1 Analysis,Poland-PL-1-1.txt,6,847
L1 Analysis,Poland-PL-1-1.txt,3528,11407
L2 Outcome,Poland-PL-1-1.txt,6,847
L1 Background,Poland-PL-1-1.txt,850,3527
L1 Background,Poland-PL-1-2.txt,3,1751
L1 Analysis,Poland-PL-1-2.txt,1752,5467
L1 Analysis,Poland-PL-1-3.txt,3,158
L1 Analysis,Poland-PL-1-3.txt,7961,15438
L2 Outcome,Poland-PL-1-3.txt,3,158
L1 Background,Poland-PL-1-3.txt,161,7959
L1 Analysis,Poland-PL-1-6.txt,3,347
L1 Analysis,Poland-PL-1-6.txt,2433,5179
L2 Outcome,Poland-PL-1-6.txt,4,347
L1 Background,Poland-PL-1-6.txt,351,2430
L1 Analysis,Poland-PL-1-9.txt,3,579
L1 Analysis,Poland-PL-1-9.txt,7000,11459
L2 Outcome,Poland-PL-1-9.txt,4,579
L1 Background,Poland-PL-1-9.txt,583,6998
L1 Analysis,Poland-PL-1-7.txt,3,343
L1 Analysis,Poland-PL-1-7.txt,2980,15467
L2 Outcome,Poland-PL-1-7.txt,4,343
L1 Background,Poland-PL-1-7.txt,346,2979
L2 Outcome,Poland-PL-1-4.txt,3,389
L1 Analysis,Poland-PL-1-4.txt,3,389
L1 Analysis,Poland-PL-1-4.txt,2395,4501
L1 Background,Poland-PL-1-4.txt,392,2392
L2 Outcome,Poland-PL-1-8.txt,3,573
L1 Analysis,Poland-PL-1-8.txt,3,573
L1 Analysis,Poland-PL-1-8.txt,5187,8453
L1 Background,Poland-PL-1-8.txt,576,5186
L2 Outcome,Poland-PL-1-5.txt,3,451
L1 Analysis,Poland-PL-1-5.txt,3,451
L1 Analysis,Poland-PL-1-5.txt,2991,7072
L1 Background,Poland-PL-1-5.txt,454,2990
L2 Outcome,Poland-PL-1-11.txt,3,626
L1 Analysis,Poland-PL-1-11.txt,3,626
L1 Analysis,Poland-PL-1-11.txt,3703,9936
L1 Background,Poland-PL-1-11.txt,629,3701
L2 Outcome,Poland-PL-1-10.txt,3,403
L1 Analysis,Poland-PL-1-10.txt,3,403
L1 Analysis,Poland-PL-1-10.txt,5188,13315
L1 Background,Poland-PL-1-10.txt,406,5187
L2 Outcome,Poland-PL-1-13.txt,3,372
L1 Analysis,Poland-PL-1-13.txt,3,372
L1 Analysis,Poland-PL-1-13.txt,4203,9561
L1 Background,Poland-PL-1-13.txt,375,4202
L2 Outcome,Poland-PL-1-15.txt,3,607
L1 Analysis,Poland-PL-1-15.txt,3,607
L1 Analysis,Poland-PL-1-15.txt,4239,10519
L1 Background,Poland-PL-1-15.txt,610,4236
L2 Outcome,Poland-PL-1-12.txt,3,495
L1 Analysis,Poland-PL-1-12.txt,3,495
L1 Analysis,Poland-PL-1-12.txt,1642,8593
L1 Background,Poland-PL-1-12.txt,498,1641
L2 Outcome,Poland-PL-1-14.txt,3,265
L1 Analysis,Poland-PL-1-14.txt,3,265
L1 Analysis,Poland-PL-1-14.txt,3332,10461
L1 Background,Poland-PL-1-14.txt,268,3331
L2 Outcome,Poland-PL-1-16.txt,3,435
L1 Analysis,Poland-PL-1-16.txt,3,435
L1 Analysis,Poland-PL-1-16.txt,815,3287
L1 Background,Poland-PL-1-16.txt,439,814
L2 Outcome,Poland-PL-1-17.txt,3,262
L1 Analysis,Poland-PL-1-17.txt,3,262
L1 Analysis,Poland-PL-1-17.txt,2648,4792
L1 Background,Poland-PL-1-17.txt,264,2647
L1 Background,Poland-PL-1-18.txt,4,4004
L1 Analysis,Poland-PL-1-18.txt,4006,18569
L2 Outcome,Poland-PL-1-19.txt,3,162
L1 Analysis,Poland-PL-1-19.txt,3,162
L1 Analysis,Poland-PL-1-19.txt,6117,20152
L1 Background,Poland-PL-1-19.txt,165,6116
L2 Outcome,Poland-PL-1-20.txt,3,791
L1 Analysis,Poland-PL-1-20.txt,3,791
L1 Analysis,Poland-PL-1-20.txt,2234,6800
L1 Background,Poland-PL-1-20.txt,794,2232
L2 Outcome,Poland-PL-1-21.txt,3,398
L1 Analysis,Poland-PL-1-21.txt,3,398
L1 Analysis,Poland-PL-1-21.txt,4262,12814
L1 Background,Poland-PL-1-21.txt,401,4261
L1 Analysis,Poland-PL-1-22.txt,3,507
L1 Analysis,Poland-PL-1-22.txt,6704,11340
L2 Outcome,Poland-PL-1-22.txt,3,507
L1 Background,Poland-PL-1-22.txt,510,6703
L1 Analysis,Poland-PL-1-23.txt,2,492
L1 Analysis,Poland-PL-1-23.txt,5124,15328
L2 Outcome,Poland-PL-1-23.txt,3,492
L1 Background,Poland-PL-1-23.txt,495,5123
L2 Outcome,Poland-PL-1-24.txt,3,350
L1 Analysis,Poland-PL-1-24.txt,3,350
L1 Analysis,Poland-PL-1-24.txt,7187,17967
L1 Background,Poland-PL-1-24.txt,353,7186
L1 Analysis,Poland-PL-1-25.txt,2,260
L1 Analysis,Poland-PL-1-25.txt,8350,22588
L2 Outcome,Poland-PL-1-25.txt,3,260
L1 Background,Poland-PL-1-25.txt,263,8349
L2 Outcome,Poland-PL-1-27.txt,3,467
L1 Analysis,Poland-PL-1-27.txt,3,467
L1 Analysis,Poland-PL-1-27.txt,26237,40458
L1 Background,Poland-PL-1-27.txt,470,26236
L2 Outcome,Poland-PL-1-40.txt,3,495
L1 Analysis,Poland-PL-1-40.txt,3,495
L1 Analysis,Poland-PL-1-40.txt,14969,19818
L1 Background,Poland-PL-1-40.txt,498,14968
L1 Analysis,Poland-PL-1-41.txt,2,562
L1 Analysis,Poland-PL-1-41.txt,16020,20766
L2 Outcome,Poland-PL-1-41.txt,3,562
L1 Background,Poland-PL-1-41.txt,565,16019
L1 Analysis,Poland-PL-1-43.txt,2,518
L1 Analysis,Poland-PL-1-43.txt,4317,15342
L2 Outcome,Poland-PL-1-43.txt,3,518
L1 Background,Poland-PL-1-43.txt,521,4316
L2 Outcome,Poland-PL-1-44.txt,3,506
L1 Analysis,Poland-PL-1-44.txt,3,506
L1 Analysis,Poland-PL-1-44.txt,4355,15373
L1 Background,Poland-PL-1-44.txt,509,4353
L2 Outcome,Poland-PL-1-45.txt,6,606
L1 Analysis,Poland-PL-1-45.txt,6,606
L1 Analysis,Poland-PL-1-45.txt,6140,18744
L1 Background,Poland-PL-1-45.txt,611,6139
L2 Outcome,Poland-PL-1-46.txt,3,615
L1 Analysis,Poland-PL-1-46.txt,3,615
L1 Analysis,Poland-PL-1-46.txt,3841,11617
L1 Background,Poland-PL-1-46.txt,618,3840
L1 Analysis,Poland-PL-1-42.txt,2,311
L1 Analysis,Poland-PL-1-42.txt,3559,12771
L2 Outcome,Poland-PL-1-42.txt,3,311
L1 Background,Poland-PL-1-42.txt,314,3558
L1 Analysis,Poland-PL-1-38.txt,2,340
L1 Analysis,Poland-PL-1-38.txt,2498,6455
L2 Outcome,Poland-PL-1-38.txt,3,340
L1 Background,Poland-PL-1-38.txt,343,2497
L2 Outcome,Poland-PL-1-39.txt,3,334
L1 Analysis,Poland-PL-1-39.txt,3,334
L1 Analysis,Poland-PL-1-39.txt,1944,5911
L1 Background,Poland-PL-1-39.txt,337,1943
L1 Analysis,Poland-PL-1-37.txt,2,300
L1 Analysis,Poland-PL-1-37.txt,1880,5846
L2 Outcome,Poland-PL-1-37.txt,4,299
L1 Background,Poland-PL-1-37.txt,303,1879
L2 Outcome,Poland-PL-1-28.txt,3,384
L1 Analysis,Poland-PL-1-28.txt,3,384
L1 Analysis,Poland-PL-1-28.txt,1413,5588
L1 Background,Poland-PL-1-28.txt,387,1412
L1 Analysis,Poland-PL-1-30.txt,2,519
L1 Analysis,Poland-PL-1-30.txt,4825,13038
L2 Outcome,Poland-PL-1-30.txt,3,519
L1 Background,Poland-PL-1-30.txt,522,4824
L2 Outcome,Poland-PL-1-26.txt,3,324
L1 Analysis,Poland-PL-1-26.txt,3,324
L1 Analysis,Poland-PL-1-26.txt,1294,5380
L1 Background,Poland-PL-1-26.txt,327,1293
L2 Outcome,Poland-PL-1-29.txt,3,381
L1 Analysis,Poland-PL-1-29.txt,3,381
L1 Analysis,Poland-PL-1-29.txt,1311,5415
L1 Background,Poland-PL-1-29.txt,384,1310
L2 Outcome,Poland-PL-1-31.txt,2,435
L1 Analysis,Poland-PL-1-31.txt,2,435
L1 Analysis,Poland-PL-1-31.txt,1519,5645
L1 Background,Poland-PL-1-31.txt,438,1518
L2 Outcome,Poland-PL-1-32.txt,3,384
L1 Analysis,Poland-PL-1-32.txt,3,384
L1 Analysis,Poland-PL-1-32.txt,1246,5356
L1 Background,Poland-PL-1-32.txt,387,1245
L1 Analysis,Poland-PL-1-33.txt,2,387
L1 Analysis,Poland-PL-1-33.txt,1341,5445
L2 Outcome,Poland-PL-1-33.txt,3,387
L1 Background,Poland-PL-1-33.txt,390,1340
L2 Outcome,Poland-PL-1-34.txt,3,439
L1 Analysis,Poland-PL-1-34.txt,3,439
L1 Analysis,Poland-PL-1-34.txt,5408,12204
L1 Background,Poland-PL-1-34.txt,442,5407
L2 Outcome,Poland-PL-1-50.txt,3,373
L1 Analysis,Poland-PL-1-50.txt,3,373
L1 Analysis,Poland-PL-1-50.txt,1034,5042
L1 Background,Poland-PL-1-50.txt,376,1033
L2 Outcome,Poland-PL-1-35.txt,3,343
L1 Analysis,Poland-PL-1-35.txt,3,343
L1 Analysis,Poland-PL-1-35.txt,963,3486
L1 Background,Poland-PL-1-35.txt,346,962
L1 Analysis,Poland-PL-1-36.txt,2,351
L1 Analysis,Poland-PL-1-36.txt,971,3494
L2 Outcome,Poland-PL-1-36.txt,3,351
L1 Background,Poland-PL-1-36.txt,354,970
L2 Outcome,Poland-PL-1-47.txt,3,812
L1 Analysis,Poland-PL-1-47.txt,3,812
L1 Analysis,Poland-PL-1-47.txt,5872,14596
L1 Background,Poland-PL-1-47.txt,815,5871
L2 Outcome,Poland-PL-1-48.txt,3,500
L1 Analysis,Poland-PL-1-48.txt,3,500
L1 Analysis,Poland-PL-1-48.txt,6852,21554
L1 Background,Poland-PL-1-48.txt,503,6850
L2 Outcome,Poland-PL-1-51.txt,3,1064
L1 Analysis,Poland-PL-1-51.txt,3,1064
L1 Analysis,Poland-PL-1-51.txt,21760,33232
L1 Background,Poland-PL-1-51.txt,1067,21758
L1 Analysis,Poland-PL-1-53.txt,2,264
L1 Analysis,Poland-PL-1-53.txt,2349,11720
L2 Outcome,Poland-PL-1-53.txt,3,264
L1 Background,Poland-PL-1-53.txt,267,2348
L2 Outcome,Poland-PL-1-84.txt,3,278
L1 Analysis,Poland-PL-1-84.txt,3,278
L1 Analysis,Poland-PL-1-84.txt,2707,5815
L1 Background,Poland-PL-1-84.txt,281,2705
L1 Analysis,Poland-PL-1-52.txt,2,483
L1 Analysis,Poland-PL-1-52.txt,2214,6773
L2 Outcome,Poland-PL-1-52.txt,3,483
L1 Background,Poland-PL-1-52.txt,486,2213
L2 Outcome,Poland-PL-1-54.txt,4,860
L1 Analysis,Poland-PL-1-54.txt,4,860
L1 Analysis,Poland-PL-1-54.txt,6148,8642
L1 Background,Poland-PL-1-54.txt,863,6147
L2 Outcome,Poland-PL-1-56.txt,3,410
L1 Analysis,Poland-PL-1-56.txt,3,410
L1 Analysis,Poland-PL-1-56.txt,2643,8456
L1 Background,Poland-PL-1-56.txt,414,2642
L2 Outcome,Poland-PL-1-57.txt,3,467
L1 Analysis,Poland-PL-1-57.txt,3,467
L1 Analysis,Poland-PL-1-57.txt,2333,9104
L1 Background,Poland-PL-1-57.txt,470,2332
L2 Outcome,Poland-PL-1-58.txt,3,444
L1 Analysis,Poland-PL-1-58.txt,3,444
L1 Analysis,Poland-PL-1-58.txt,2701,9466
L1 Background,Poland-PL-1-58.txt,447,2700
L2 Outcome,Poland-PL-1-59.txt,3,477
L1 Analysis,Poland-PL-1-59.txt,3,477
L1 Analysis,Poland-PL-1-59.txt,2705,10114
L1 Background,Poland-PL-1-59.txt,480,2704
L2 Outcome,Poland-PL-1-61.txt,3,450
L1 Analysis,Poland-PL-1-61.txt,3,450
L1 Analysis,Poland-PL-1-61.txt,1702,8754
L1 Background,Poland-PL-1-61.txt,453,1701
L2 Outcome,Poland-PL-1-55.txt,4,392
L1 Analysis,Poland-PL-1-55.txt,4,392
L1 Analysis,Poland-PL-1-55.txt,3016,5898
L1 Background,Poland-PL-1-55.txt,396,3015
L2 Outcome,Poland-PL-1-60.txt,3,723
L1 Analysis,Poland-PL-1-60.txt,3,723
L1 Analysis,Poland-PL-1-60.txt,3275,26216
L1 Background,Poland-PL-1-60.txt,727,3274
L2 Outcome,Poland-PL-1-62.txt,3,411
L1 Analysis,Poland-PL-1-62.txt,3,411
L1 Analysis,Poland-PL-1-62.txt,15996,21006
L1 Background,Poland-PL-1-62.txt,414,15995
L2 Outcome,Poland-PL-1-69.txt,3,476
L1 Analysis,Poland-PL-1-69.txt,3,476
L1 Analysis,Poland-PL-1-69.txt,19145,29279
L1 Background,Poland-PL-1-69.txt,479,19144
L1 Analysis,Poland-PL-1-72.txt,2,321
L1 Analysis,Poland-PL-1-72.txt,6883,21669
L2 Outcome,Poland-PL-1-72.txt,2,321
L1 Background,Poland-PL-1-72.txt,323,6882
L2 Outcome,Poland-PL-1-63.txt,3,1562
L1 Analysis,Poland-PL-1-63.txt,3,1562
L1 Analysis,Poland-PL-1-63.txt,2268,7913
L1 Background,Poland-PL-1-63.txt,1565,2267
L2 Outcome,Poland-PL-1-70.txt,3,2355
