Type,Document,Start,End
L0 Out of Scope,Poland-PL-1-1.txt,0,208
L0 Out of Scope,Poland-PL-1-1.txt,211,848
L0 Heading,Poland-PL-1-1.txt,851,860
L0 Heading,Poland-PL-1-1.txt,1704,1716
L0 Heading,Poland-PL-1-1.txt,4395,4430
L0 Out of Scope,Poland-PL-1-2.txt,0,1572
L0 Heading,Poland-PL-1-2.txt,1575,1587
L0 Heading,Poland-PL-1-2.txt,3337,3372
L0 Heading,Poland-PL-1-2.txt,1078,1087
L0 Out of Scope,Poland-PL-1-3.txt,0,976
L0 Heading,Poland-PL-1-3.txt,979,988
L0 Heading,Poland-PL-1-3.txt,1146,1158
L0 Heading,Poland-PL-1-3.txt,8958,8993
L0 Out of Scope,Poland-PL-1-6.txt,0,1012
L0 Heading,Poland-PL-1-6.txt,1015,1024
L2 Outcome,Poland-PL-1-6.txt,1025,1368
L0 Heading,Poland-PL-1-6.txt,1371,1383
L1 Background,Poland-PL-1-6.txt,1384,3463
L0 Heading,Poland-PL-1-6.txt,3464,3500
L1 Analysis,Poland-PL-1-6.txt,3502,6248
L0 Out of Scope,Poland-PL-1-9.txt,0,1460
L0 Heading,Poland-PL-1-9.txt,1463,1472
L2 Outcome,Poland-PL-1-9.txt,1473,2048
L0 Heading,Poland-PL-1-9.txt,2051,2063
L1 Background,Poland-PL-1-9.txt,2064,8479
L0 Heading,Poland-PL-1-9.txt,8480,8515
L1 Analysis,Poland-PL-1-9.txt,8516,12975
L0 Out of Scope,Poland-PL-1-7.txt,0,620
L0 Heading,Poland-PL-1-7.txt,623,632
L1 Analysis,Poland-PL-1-2.txt,1078,1572
L2 Outcome,Poland-PL-1-9.txt,1463,1472
L1 Analysis,Poland-PL-1-9.txt,1463,2048
L1 Background,Poland-PL-1-9.txt,2051,2063
L1 Analysis,Poland-PL-1-9.txt,8480,8515
L2 Outcome,Poland-PL-1-7.txt,633,972
L0 Heading,Poland-PL-1-7.txt,975,987
L1 Background,Poland-PL-1-7.txt,975,3620
L0 Heading,Poland-PL-1-7.txt,3621,3657
