Type,Document,Start,End
L0 Out of Scope,United_States-EN-1-3.txt,57830,57858
L0 Out of Scope,United_States-EN-1-3.txt,0,341
L0 Heading,United_States-EN-1-3.txt,680,701
L0 Heading,United_States-EN-1-3.txt,1886,1916
L0 Heading,United_States-EN-1-3.txt,5258,5314
L0 Heading,United_States-EN-1-3.txt,8873,8939
L0 Heading,United_States-EN-1-3.txt,17432,17463
L0 Heading,United_States-EN-1-3.txt,21479,21492
L0 Heading,United_States-EN-1-3.txt,57548,57562
L0 Heading,United_States-EN-1-3.txt,345,363
L1 Background,United_States-EN-1-3.txt,366,681
L2 Introductory Summary,United_States-EN-1-3.txt,366,681
L1 Background,United_States-EN-1-3.txt,704,1881
L2 Introductory Summary,United_States-EN-1-3.txt,704,1881
L0 Heading,United_States-EN-1-3.txt,2789,2845
L2 Introductory Summary,United_States-EN-1-3.txt,1918,2787
L1 Analysis,United_States-EN-1-3.txt,21494,25379
L1 Analysis,United_States-EN-1-3.txt,25382,31116
L1 Analysis,United_States-EN-1-3.txt,31120,43762
L1 Analysis,United_States-EN-1-3.txt,43766,47279
L1 Analysis,United_States-EN-1-3.txt,47283,50975
L1 Analysis,United_States-EN-1-3.txt,50983,57542
L1 Background,United_States-EN-1-3.txt,2847,5258
L1 Background,United_States-EN-1-3.txt,5316,8873
L1 Background,United_States-EN-1-3.txt,8942,17428
L1 Background,United_States-EN-1-3.txt,17465,21475
L2 Outcome,United_States-EN-1-3.txt,57566,57830
L2 Outcome,United_States-EN-1-4.txt,14780,15172
L0 Heading,United_States-EN-1-4.txt,1408,1437
L1 Background,United_States-EN-1-4.txt,1439,6463
L0 Heading,United_States-EN-1-4.txt,8587,8598
L2 Introductory Summary,United_States-EN-1-4.txt,279,1404
L0 Out of Scope,United_States-EN-1-4.txt,0,277
L0 Heading,United_States-EN-1-4.txt,6467,6486
L1 Analysis,United_States-EN-1-4.txt,6467,14776
L0 Heading,United_States-EN-1-4.txt,14780,14791
L0 Out of Scope,United_States-EN-1-4.txt,15174,15211
L0 Out of Scope,United_States-EN-1-5.txt,0,294
L0 Out of Scope,United_States-EN-1-5.txt,29044,29078
L0 Heading,United_States-EN-1-5.txt,1482,1493
L0 Heading,United_States-EN-1-5.txt,3622,3641
L0 Heading,United_States-EN-1-5.txt,7054,7065
L0 Heading,United_States-EN-1-5.txt,5727,5756
L0 Heading,United_States-EN-1-5.txt,7067,7086
L0 Heading,United_States-EN-1-5.txt,28784,28794
L1 Background,United_States-EN-1-5.txt,297,1478
L2 Introductory Summary,United_States-EN-1-5.txt,297,1478
L1 Background,United_States-EN-1-5.txt,1495,3597
L0 Heading,United_States-EN-1-5.txt,3599,3618
L1 Analysis,United_States-EN-1-5.txt,3599,28780
L2 Outcome,United_States-EN-1-5.txt,28784,29042
L0 Out of Scope,United_States-EN-1-6.txt,0,449
L2 Introductory Summary,United_States-EN-1-6.txt,451,1398
L1 Background,United_States-EN-1-6.txt,451,6750
L0 Heading,United_States-EN-1-6.txt,1398,1413
L0 Heading,United_States-EN-1-6.txt,6750,6769
L1 Analysis,United_States-EN-1-6.txt,6771,30905
L0 Heading,United_States-EN-1-6.txt,10921,10932
L0 Heading,United_States-EN-1-6.txt,30909,30920
L2 Outcome,United_States-EN-1-6.txt,30909,32053
L0 Out of Scope,United_States-EN-1-6.txt,32053,32090
L0 Out of Scope,United_States-EN-1-2.txt,0,378
L0 Heading,United_States-EN-1-2.txt,380,391
L1 Background,United_States-EN-1-2.txt,380,5012
