Type,Document,Start,End
L1 Background,United_States-EN-1-3.txt,1,20899
L1 Analysis,United_States-EN-1-3.txt,20902,56080
L2 Outcome,United_States-EN-1-3.txt,55857,56080
L1 Background,United_States-EN-1-4.txt,1,8217
L1 Analysis,United_States-EN-1-4.txt,8219,14774
L2 Outcome,United_States-EN-1-4.txt,14391,14774
L1 Background,United_States-EN-1-5.txt,1,6669
L1 Analysis,United_States-EN-1-5.txt,6672,28233
L2 Outcome,United_States-EN-1-5.txt,27986,28233
L1 Background,United_States-EN-1-6.txt,1,10379
L1 Analysis,United_States-EN-1-6.txt,10382,31435
L2 Outcome,United_States-EN-1-6.txt,30302,31435
L1 Background,United_States-EN-1-2.txt,1,5058
L1 Analysis,United_States-EN-1-2.txt,5060,19440
L2 Outcome,United_States-EN-1-2.txt,18777,19440
L1 Background,United_States-EN-1-1.txt,3,4313
L1 Analysis,United_States-EN-1-1.txt,4314,10258
L2 Outcome,United_States-EN-1-1.txt,10002,10254
L1 Background,United_States-EN-1-7.txt,1,10135
L1 Analysis,United_States-EN-1-7.txt,10136,26357
L2 Outcome,United_States-EN-1-7.txt,26191,26357
L1 Background,United_States-EN-1-8.txt,1,5980
L1 Analysis,United_States-EN-1-8.txt,5983,31949
L2 Outcome,United_States-EN-1-8.txt,30606,31949
L1 Background,United_States-EN-1-20.txt,3,5105
L1 Analysis,United_States-EN-1-20.txt,5106,85320
L2 Outcome,United_States-EN-1-20.txt,83757,85320
L1 Background,United_States-EN-1-10.txt,1,16397
L1 Analysis,United_States-EN-1-10.txt,16399,65671
L2 Outcome,United_States-EN-1-10.txt,65036,65671
L1 Background,United_States-EN-1-13.txt,1,12023
L1 Analysis,United_States-EN-1-13.txt,12023,59854
L2 Outcome,United_States-EN-1-13.txt,59441,59854
L1 Background,United_States-EN-1-11.txt,3,3437
L1 Analysis,United_States-EN-1-11.txt,3439,20482
L2 Outcome,United_States-EN-1-11.txt,20226,20482
L1 Background,United_States-EN-1-9.txt,1,660
L1 Analysis,United_States-EN-1-9.txt,661,5669
L2 Outcome,United_States-EN-1-9.txt,4724,5669
L1 Background,United_States-EN-1-16.txt,1,37869
L1 Analysis,United_States-EN-1-16.txt,37871,114196
L2 Outcome,United_States-EN-1-16.txt,112799,114196
L1 Background,United_States-EN-1-12.txt,1,8624
L1 Analysis,United_States-EN-1-12.txt,8625,43624
L2 Outcome,United_States-EN-1-12.txt,42935,43624
L1 Background,United_States-EN-1-17.txt,63,8432
L1 Analysis,United_States-EN-1-17.txt,8433,38523
L2 Outcome,United_States-EN-1-17.txt,37700,38520
L1 Background,United_States-EN-1-14.txt,4,4064
L1 Analysis,United_States-EN-1-14.txt,4065,45729
L2 Outcome,United_States-EN-1-14.txt,44812,45729
L1 Background,United_States-EN-1-15.txt,7,3677
L1 Analysis,United_States-EN-1-15.txt,3681,20230
L2 Outcome,United_States-EN-1-15.txt,20040,20228
L1 Background,United_States-EN-1-18.txt,1,12467
L1 Analysis,United_States-EN-1-18.txt,12468,34664
L2 Outcome,United_States-EN-1-18.txt,33938,34664
L1 Background,United_States-EN-1-24.txt,1,6731
L1 Analysis,United_States-EN-1-24.txt,6734,35869
L2 Outcome,United_States-EN-1-24.txt,34654,35869
L1 Background,United_States-EN-1-32.txt,1,3813
L1 Analysis,United_States-EN-1-32.txt,3815,67766
L2 Outcome,United_States-EN-1-32.txt,66110,67764
L1 Background,United_States-EN-1-23.txt,4,19444
L1 Analysis,United_States-EN-1-23.txt,19447,49901
L2 Outcome,United_States-EN-1-23.txt,48786,49901
L1 Background,United_States-EN-1-21.txt,1,6617
L1 Analysis,United_States-EN-1-21.txt,6620,8858
L2 Outcome,United_States-EN-1-21.txt,8390,8858
L1 Background,United_States-EN-1-19.txt,3,4329
L1 Analysis,United_States-EN-1-19.txt,4332,39322
L2 Outcome,United_States-EN-1-19.txt,39207,39322
L1 Background,United_States-EN-1-22.txt,1,10801
L1 Analysis,United_States-EN-1-22.txt,10802,25860
L2 Outcome,United_States-EN-1-22.txt,24513,25860
L1 Background,United_States-EN-1-28.txt,4,5062
L1 Analysis,United_States-EN-1-28.txt,5063,94484
L2 Outcome,United_States-EN-1-28.txt,94315,94484
L1 Background,United_States-EN-1-27.txt,1,5139
L1 Analysis,United_States-EN-1-27.txt,5140,92197
L2 Outcome,United_States-EN-1-27.txt,92026,92197
L1 Background,United_States-EN-1-25.txt,1,6879
L1 Analysis,United_States-EN-1-25.txt,6880,16443
L2 Outcome,United_States-EN-1-25.txt,16135,16442
L1 Background,United_States-EN-1-29.txt,1,12221
L1 Analysis,United_States-EN-1-29.txt,12226,32239
L1 Background,United_States-EN-1-26.txt,2,2265
L1 Analysis,United_States-EN-1-26.txt,2266,9120
L2 Outcome,United_States-EN-1-26.txt,8590,9120
L1 Background,United_States-EN-1-30.txt,1,4480
L1 Analysis,United_States-EN-1-30.txt,4483,17696
L2 Outcome,United_States-EN-1-30.txt,16649,17696
L1 Background,United_States-EN-1-35.txt,1,2859
L1 Analysis,United_States-EN-1-35.txt,2860,24264
L2 Outcome,United_States-EN-1-35.txt,23639,24264
L1 Background,United_States-EN-1-31.txt,1,1416
L1 Analysis,United_States-EN-1-31.txt,1417,14493
L2 Outcome,United_States-EN-1-31.txt,13578,14493
L1 Background,United_States-EN-1-34.txt,1,3316
L1 Analysis,United_States-EN-1-34.txt,3317,5571
L2 Outcome,United_States-EN-1-34.txt,5259,5571
L1 Background,United_States-EN-1-33.txt,1,13495
L1 Analysis,United_States-EN-1-33.txt,13498,47172
L2 Outcome,United_States-EN-1-33.txt,46666,47172
L1 Background,United_States-EN-1-36.txt,1,3904
L1 Analysis,United_States-EN-1-36.txt,3907,11453
L2 Outcome,United_States-EN-1-36.txt,10726,11453
L1 Background,United_States-EN-1-37.txt,1,5967
L1 Analysis,United_States-EN-1-37.txt,5968,20557
L2 Outcome,United_States-EN-1-37.txt,20326,20557
L1 Background,United_States-EN-1-38.txt,1,3165
L1 Analysis,United_States-EN-1-38.txt,3166,13708
L2 Outcome,United_States-EN-1-38.txt,13140,13708
L1 Background,United_States-EN-1-41.txt,1,32182
L1 Analysis,United_States-EN-1-41.txt,32183,81613
L2 Outcome,United_States-EN-1-41.txt,81051,81613
L1 Background,United_States-EN-1-45.txt,1,4155
L1 Analysis,United_States-EN-1-45.txt,4159,44607
L2 Outcome,United_States-EN-1-45.txt,42797,44607
L1 Background,United_States-EN-1-39.txt,3,3786
L1 Analysis,United_States-EN-1-39.txt,3787,41703
L2 Outcome,United_States-EN-1-39.txt,40955,41703
L1 Background,United_States-EN-1-42.txt,1,3204
L1 Analysis,United_States-EN-1-42.txt,3205,18681
L2 Outcome,United_States-EN-1-42.txt,18564,18681
L1 Background,United_States-EN-1-40.txt,1,3559
L1 Analysis,United_States-EN-1-40.txt,3560,63612
L2 Outcome,United_States-EN-1-40.txt,63005,63612
L1 Background,United_States-EN-1-51.txt,1,15635
L1 Analysis,United_States-EN-1-51.txt,15636,74045
L2 Outcome,United_States-EN-1-51.txt,73352,74045
L1 Background,United_States-EN-1-43.txt,1,4934
L1 Analysis,United_States-EN-1-43.txt,4937,20460
L2 Outcome,United_States-EN-1-43.txt,20216,20460
L1 Background,United_States-EN-1-44.txt,1,13103
L1 Analysis,United_States-EN-1-44.txt,13104,31983
L2 Outcome,United_States-EN-1-44.txt,31135,31980
L1 Background,United_States-EN-1-46.txt,2,4384
L1 Analysis,United_States-EN-1-46.txt,4387,12442
L2 Outcome,United_States-EN-1-46.txt,12165,12441
