Document,L0 Out of Scope-L0 Out of Scope,L0 Out of Scope-L0 Heading,L0 Out of Scope-L1 Background,L0 Out of Scope-L1 Analysis,L0 Out of Scope-L2 Introductory Summary,L0 Out of Scope-L2 Outcome,L0 Out of Scope-Not Marked,L0 Heading-L0 Out of Scope,L0 Heading-L0 Heading,L0 Heading-L1 Background,L0 Heading-L1 Analysis,L0 Heading-L2 Introductory Summary,L0 Heading-L2 Outcome,L0 Heading-Not Marked,L1 Background-L0 Out of Scope,L1 Background-L0 Heading,L1 Background-L1 Background,L1 Background-L1 Analysis,L1 Background-L2 Introductory Summary,L1 Background-L2 Outcome,L1 Background-Not Marked,L1 Analysis-L0 Out of Scope,L1 Analysis-L0 Heading,L1 Analysis-L1 Background,L1 Analysis-L1 Analysis,L1 Analysis-L2 Introductory Summary,L1 Analysis-L2 Outcome,L1 Analysis-Not Marked,L2 Introductory Summary-L0 Out of Scope,L2 Introductory Summary-L0 Heading,L2 Introductory Summary-L1 Background,L2 Introductory Summary-L1 Analysis,L2 Introductory Summary-L2 Introductory Summary,L2 Introductory Summary-L2 Outcome,L2 Introductory Summary-Not Marked,L2 Outcome-L0 Out of Scope,L2 Outcome-L0 Heading,L2 Outcome-L1 Background,L2 Outcome-L1 Analysis,L2 Outcome-L2 Introductory Summary,L2 Outcome-L2 Outcome,L2 Outcome-Not Marked,Not Marked-L0 Out of Scope,Not Marked-L0 Heading,Not Marked-L1 Background,Not Marked-L1 Analysis,Not Marked-L2 Introductory Summary,Not Marked-L2 Outcome,Not Marked-Not Marked
United_States-EN-1-3.txt,369,0,0,0,0,0,0,18,231,56,0,0,0,0,0,1,18463,0,0,0,0,0,1100,0,34925,0,0,0,0,0,2360,0,0,0,0,43,0,0,0,0,220,1,10,9,19,30,0,3,7
United_States-EN-1-4.txt,314,0,0,0,0,0,0,0,69,0,0,0,1,0,0,20,5004,0,0,0,0,0,31,2078,6168,0,0,2,0,0,0,0,1125,0,0,0,0,0,0,0,381,0,2,1,8,4,1,1,5
United_States-EN-1-5.txt,328,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,2102,0,0,0,0,0,393,3378,21310,0,0,3,0,0,0,0,1181,0,0,0,2,0,0,0,246,0,3,1,4,4,3,1,7
United_States-EN-1-6.txt,484,0,0,0,0,1,1,0,52,3,0,1,0,0,0,1,5336,0,0,0,0,0,113,4091,19916,0,0,3,0,0,0,0,947,0,0,0,1,0,0,0,1132,0,5,2,0,4,0,0,4
United_States-EN-1-2.txt,398,0,0,0,0,0,0,0,89,0,0,0,0,0,0,1,4620,0,0,0,0,0,2,431,13715,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,662,0,7,0,6,2,0,1,7
United_States-EN-1-1.txt,900,0,0,0,99,0,0,0,60,0,0,0,0,0,0,0,1080,0,0,0,0,0,2,2396,5686,0,0,1,0,0,0,0,729,0,0,0,1,0,4,0,252,1,3,0,3,2,3,0,6
United_States-EN-1-7.txt,438,0,0,0,0,0,0,0,96,0,0,0,0,0,0,2,7571,0,1,0,0,0,128,1606,16053,0,0,1,0,0,0,0,954,0,0,0,2,0,0,0,165,0,2,0,2,2,0,1,3
United_States-EN-1-8.txt,427,0,0,0,0,0,0,0,113,0,34,0,0,0,0,1,3929,0,3,0,0,0,31,0,24585,0,0,0,0,0,0,0,2046,0,0,0,2,0,0,0,1342,0,4,0,1,4,0,1,8
United_States-EN-1-20.txt,595,0,0,0,0,0,0,0,629,0,18,0,14,0,0,62,4036,6010,0,0,0,0,435,0,72617,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,0,1548,0,4,0,4,6,1,1,8
United_States-EN-1-10.txt,427,0,0,0,0,0,0,0,845,0,142,0,15,0,0,42,14894,1,1,0,2,0,160,0,48490,0,0,0,0,1,0,0,1501,0,0,0,0,0,0,0,619,0,4,0,0,4,0,1,7
