Type,Document,Ordering,Text
L1 Background,United_States-EN-2-6.txt,0,"This case arises under the H-1B visa program provisions of theImmigration and Nationality Act, as amended (INA), 8 U.S.C. § 1101(a)(15)(H)(i)(b) (2014) and 8 U.S.C. § 1182(n) (2013), and implementing regulations at 20 C.F.R."
L1 Background,United_States-EN-2-6.txt,1,"Part 655, subparts H and I (2016)."
L1 Background,United_States-EN-2-6.txt,2,"The Administrator, Wage and Hour Division (WHD), U.S. Department of Labor (DOL) conducted an investigation of MPRSoft,Inc. (Respondent) and issued an Administrator’s Determination Letter in which it concluded that Respondent owed back wages in the amount of $53,220.06 toDheeraj Reddy Jinna (Complainant)."
L1 Background,United_States-EN-2-6.txt,3,"On September 22, 2018, the Complainant appealed the Administrator’sDetermination and requested a hearing with the Office of Administrative LawJudges (OALJ)."
L1 Background,United_States-EN-2-6.txt,4,"On February 1, 2019, a formal hearing was held before the OALJ."
L1 Background,United_States-EN-2-6.txt,5,All parties were present and the following exhibits were received into evidence: Respondent’sExhibits (RX) A-C and Complainant’s Exhibits (CX) 1-10.
L1 Background,United_States-EN-2-6.txt,6,"Two witnesses testified,Mr. Jinna, on behalf of Complainant, and Mr. Mahadevapalli,1 on behalf ofRespondent."
L1 Background,United_States-EN-2-6.txt,7,Both parties were pro se (self-represented) litigants and made oral arguments in lieu of briefs.2
L1 Background,United_States-EN-2-6.txt,8,"After considering the evidence, a DOL AdministrativeLaw Judge (ALJ) issued a Decision and Order Modifying in Part and Affirming inPart the Administrator’s Determination and Granting Request for Additional BackWages."
L1 Background,United_States-EN-2-6.txt,9,"Decision and Order (July 16, 2019) (D. & O.)."
L1 Background,United_States-EN-2-6.txt,10,"The ALJ affirmed theAdministrator’s Determination to not assess any civil money penalties, but modified it and awarded Complainant $88,890.17 in back pay, plus interest."
L1 Background,United_States-EN-2-6.txt,11,Respondent appealed to the Administrative Review Board (ARB or Board).
L1 Background,United_States-EN-2-6.txt,12,"Respondent filed its Appeal Brief (Brief) on September 23, 2019."
L1 Background,United_States-EN-2-6.txt,13,"Complainant filed his Response Brief (Response) on October 20, 2019."
L1 Background,United_States-EN-2-6.txt,14,"We affirm the ALJ’s findings and calculation for wages earned during Complainant’s tenure with Respondent, but modify the total amount of back wages owed to him."
L1 Background,United_States-EN-2-6.txt,15,Respondent submitted a Labor Condition Application (LCA) to theDepartment of Labor’s Employment and Training Administration (ETA). D. & O. at 11-12.
L1 Background,United_States-EN-2-6.txt,16,"The LCA was approved by U.S. Citizenship and Immigration Services (USCIS) to cover the period from June 8, 2016 to June 7, 2019, for a job title of “SAPMaster Data Governance/Management Consultant” in Los Angeles, California. Id."
L1 Background,United_States-EN-2-6.txt,17,"The LCA listed the wage rate as $105,000.00 per year. Id. at 12. the Hearing Transcript (Tr.) as well as the documentary evidence submitted in this matter. manager” for Respondent."
L1 Background,United_States-EN-2-6.txt,18,"Since both parties were lacking in apparent legal expertise, theALJ afforded both parties “a degree of adjudicative latitude” as it related to the case. D. & O. at 7, 9."
L1 Background,United_States-EN-2-6.txt,19,"Although the LCA was valid through June 7, 2019, Complainant began employment with a new H-1B employer about two weeks after Respondent sent him a “termination email” on February 3, 2018. Id. at 15."
L1 Background,United_States-EN-2-6.txt,20,"Complainant did not provide records to verify when he officially started at the new H-1B employer so the ALJ found that he began this new employment on February 17, 2018. Id. at 16."
L1 Background,United_States-EN-2-6.txt,21,"After starting his new employment, Complainant filed a complaint againstRespondent alleging that it failed to pay him the correct salary. CX 8; CX 10."
L1 Background,United_States-EN-2-6.txt,22,"OnAugust 28, 2018, the Administrator issued a Summary of Unpaid WagesDetermination for $53,220.06 for the employment period from February 20, 2016 toFebruary 3, 2018. D. & O. at 16."
L1 Background,United_States-EN-2-6.txt,23,"However, the Administrator’s Determination provided no explanation as to how that sum was derived. Id."
L1 Background,United_States-EN-2-6.txt,24,"On August 31, 2018,Respondent paid Complainant $25,234.83."
L1 Background,United_States-EN-2-6.txt,25,Id. at 16-17; ALJ Exhibit (ALJX) 2.
L1 Background,United_States-EN-2-6.txt,26,"At the hearing, Respondent proffered a 2018 W-2 and Earnings Summary forComplainant that reflected gross wages in the amount of $61,220.06. Id. at 16."
L1 Background,United_States-EN-2-6.txt,27,"Respondent’s witness then testified that Complainant received “only two paychecks in 2017[,]” but was paid bi-monthly during his tenure with Respondent. Tr. at 68."
L1 Background,United_States-EN-2-6.txt,28,"According to Complainant, these two checks were each $2,000.00, for a total of $4,000.00. D. & O. at 16; CX 8."
L1 Background,United_States-EN-2-6.txt,29,The ALJ found that Respondent offered no evidence to rebut Complainant’s assertions as to the amount he was paid in 2017. D. & O. at 16.
L1 Background,United_States-EN-2-6.txt,30,"The ALJ asked Respondent’s witness if subtracting the deductions from the wages reflected on the 2018 W-2 and Earnings Statement would yield the net amount Complainant received from Respondent after the WHD investigation, andRespondent’s witness responded affirmatively. D. & O. at 16; Tr. at 70."
L1 Background,United_States-EN-2-6.txt,31,"However, the ALJ determined this representation was not true; when she subtracted the deductions from the wages noted it resulted in $31,885.86—$6,651.03 more than the check received by Complainant. D. & O. at 17."
L1 Background,United_States-EN-2-6.txt,32,"As a result, the ALJ found that this discrepancy between the documentary evidence and Respondent’s witness’ testimony undermined the witness’ credibility. Id. at 17."
L1 Background,United_States-EN-2-6.txt,33,"In determining wages owed to Complainant for his tenure with Respondent, the ALJ used the following formula: the approved LCA wage rate of $105,000.00, forJanuary 1, 2017 to December 31, 2017; plus $8,750.00 for January 2018; plus $4,375.00, for February 1, 2018 to February 17, 2018; for a total sum of $118,125.00. Id."
L1 Background,United_States-EN-2-6.txt,34,"The ALJ then reduced the wages owed to Complainant based on payments made by Respondent—$4,000.00 in 2017 and $25,234.83 in 2018. Id."
L1 Background,United_States-EN-2-6.txt,35,"Accordingly, the ALJ concluded that Respondent owed Complainant $88,890.17 in back wages, plus interest. Id"
L1 Analysis,United_States-EN-2-6.txt,36,The ARB has jurisdiction to review the ALJ’s decision pursuant to 20 C.F.R. § 655.845.
L1 Analysis,United_States-EN-2-6.txt,37,"See also Secretary’s Order No. 01-2020 (Delegation of Authority andAssignment of Responsibility to the Administrative Review Board), 85 Fed. Reg. 13,DISCUSSION"
L1 Analysis,United_States-EN-2-6.txt,38,The sole issue on appeal is whether the record supports the ALJ ’s finding for the amount of back wages owed to Complainant.
L1 Analysis,United_States-EN-2-6.txt,39,"Respondent urges the Board to reduce Complainant ’s owed back wages from $88,890.17 to $5,125.00. Brief at 10- 11."
L1 Analysis,United_States-EN-2-6.txt,40,"Conversely, Complainant requests the Board to increase his owed back wages from $88,890.17 to $225,585.00. Response at 8-9."
L1 Analysis,United_States-EN-2-6.txt,41,"By signing and filing an LCA, an employer attests that for the entire period of authorized employment it will pay the required wage to the H-1B nonimmigrant worker. 8 U.S.C. § 1182(n)(1)(A) (2013); 20 C.F.R. § 655.731(a)."
L1 Analysis,United_States-EN-2-6.txt,42,The required wage paid to the H-1B nonimmigrant worker is defined as the higher of the actual wage for the specific employment in question or the prevailing wage at the geographic location. 20 C.F.R. § 655.715.
L1 Analysis,United_States-EN-2-6.txt,43,"The prevailing wage for Complainant’s position was listed as $104,146.00 per year while the approved LCA listed the wage rate as $105,000.00 per year."
L1 Analysis,United_States-EN-2-6.txt,44,"Therefore, the ALJ correctly applied $105,000.00 per year, or $8,750.00 per month, as the computation rate for wages earned by Complainant during the authorized LCA period."
L1 Analysis,United_States-EN-2-6.txt,45,D. & O. at 17; See Vojtisek-Lom v. Clean AirTech.
L1 Analysis,United_States-EN-2-6.txt,46,"Int’l, Inc., ARB No. 2007-0097, ALJ No. 2006-LCA-00009, slip op. at 14 (ARBJuly 30, 2009) (holding that computation of back wages may be based on wage rate paid to the employee)."
L1 Analysis,United_States-EN-2-6.txt,47,"Accordingly, the ALJ also correctly calculated the total wages owed to Complainant during his tenure with Respondent as $118,125.00; $105,000.00 for 2017, $8,750.00 for January 2018, and $4,375.00 for February 1,The Board has held that when calculating back wages owed, it isRespondent’s burden to demonstrate that it was not obligated to pay the amounts required by the approved LCA."
L1 Analysis,United_States-EN-2-6.txt,48,"Adm’r, WHD v. Xcel Sols. Corp., ARB No. 2012- 0076,"
L1 Analysis,United_States-EN-2-6.txt,49,"ALJ No. 2011-LCA-00016, slip op. at 10 (ARB July 16, 2014) (citing Gupta v. Compunnel Software Grp., Inc., ARB No. 2012-0049, ALJ No. 2011-LCA-00045 (ARB May 29, 2014))."
L1 Analysis,United_States-EN-2-6.txt,50,"In the present case, Respondent does not dispute that it was obligated to pay the approved LCA wage rate; rather, it claims that the ALJ incorrectly calculated the back wages owed to Complainant. Brief at 3."
